,0000,0100,1000,1100,0010,0110,1010,1110,0001,0101,1001,1101,0011,0111,1011,1111
0_0.topo,1,4104,4104,38416,4104,38416,38416,4104,4104,38416,38416,4104,38416,4104,4104,1
10_0.topo,70756,7056,5054,504,7056,7056,504,504,504,504,7056,7056,504,5054,7056,70756
10_1.topo,70756,22344,22344,36,504,7056,7056,504,504,7056,7056,504,36,22344,22344,70756
10_2.topo,70756,22344,1596,504,7056,504,7056,504,504,7056,504,7056,504,1596,22344,70756
10_3.topo,41154,38416,2744,1296,2744,1296,4104,196,196,4104,1296,2744,1296,2744,38416,41154
10_4.topo,70756,7056,1596,36,1596,7056,7056,7056,7056,7056,7056,1596,36,1596,7056,70756
11_0.topo,96026,16464,3724,216,1176,3024,3024,1176,1176,3024,3024,1176,216,3724,16464,96026
12_0.topo,130321,2744,2744,1296,2744,1296,1296,2744,2744,1296,1296,2744,1296,2744,2744,130321
1_0.topo,6,3024,684,52136,9576,16464,16464,9576,9576,16464,16464,9576,52136,684,3024,6
2_0.topo,36,7056,114,22344,7056,7056,22344,22344,22344,22344,7056,7056,22344,114,7056,36
2_1.topo,36,504,504,70756,22344,7056,7056,22344,22344,7056,7056,22344,70756,504,504,36
2_2.topo,36,504,1596,22344,7056,22344,7056,22344,22344,7056,22344,7056,22344,1596,504,36
2_3.topo,14,1296,4104,38416,4104,38416,2744,12996,12996,2744,38416,4104,38416,4104,1296,14
2_4.topo,36,7056,1596,70756,1596,7056,7056,7056,7056,7056,7056,1596,70756,1596,7056,36
3_0.topo,216,16464,19,9576,16464,9576,9576,16464,16464,9576,9576,16464,9576,19,16464,216
3_1.topo,216,1176,84,30324,16464,3024,9576,52136,52136,9576,3024,16464,30324,84,1176,216
3_10.topo,84,216,9576,16464,9576,3724,16464,9576,9576,16464,3724,9576,16464,9576,216,84
3_11.topo,84,3024,2166,52136,3024,16464,1176,9576,9576,1176,16464,3024,52136,2166,3024,84
3_12.topo,19,216,9576,16464,9576,16464,16464,9576,9576,16464,16464,9576,16464,9576,216,19
3_2.topo,84,3024,684,3724,3024,16464,16464,30324,30324,16464,16464,3024,3724,684,3024,84
3_3.topo,216,1176,266,9576,16464,3024,30324,16464,16464,30324,3024,16464,9576,266,1176,216
3_4.topo,216,16464,84,9576,16464,9576,9576,3724,3724,9576,9576,16464,9576,84,16464,216
3_5.topo,84,3024,684,16464,9576,1176,52136,9576,9576,52136,1176,9576,16464,684,3024,84
3_6.topo,84,3024,216,52136,9576,1176,16464,30324,30324,16464,1176,9576,52136,216,3024,84
3_7.topo,216,1176,1176,96026,3724,3024,3024,16464,16464,3024,3024,3724,96026,1176,1176,216
3_8.topo,216,1176,1176,9576,1176,9576,9576,52136,52136,9576,9576,1176,9576,1176,1176,216
3_9.topo,216,1176,3724,30324,1176,9576,3024,16464,16464,3024,9576,1176,30324,3724,1176,216
4_0.topo,1296,2744,14,12996,38416,4104,4104,38416,38416,4104,4104,38416,12996,14,2744,1296
4_1.topo,504,7056,114,1596,7056,22344,7056,22344,22344,7056,22344,7056,1596,114,7056,504
4_10.topo,504,504,1596,1596,7056,7056,22344,22344,22344,22344,7056,7056,1596,1596,504,504
4_11.topo,196,1296,4104,2744,1296,38416,2744,41154,41154,2744,38416,1296,2744,4104,1296,196
4_12.topo,504,7056,1596,5054,504,7056,7056,22344,22344,7056,7056,504,5054,1596,7056,504
4_13.topo,504,7056,504,1596,7056,22344,7056,5054,5054,7056,22344,7056,1596,504,7056,504
4_14.topo,196,1296,4104,2744,4104,2744,38416,12996,12996,38416,2744,4104,2744,4104,1296,196
4_15.topo,114,7056,1596,22344,504,7056,7056,22344,22344,7056,7056,504,22344,1596,7056,114
