,00000,01000,10000,11000,00100,01100,10100,11100,00010,01010,10010,11010,00110,01110,10110,11110,00001,01001,10001,11001,00101,01101,10101,11101,00011,01011,10011,11011,00111,01111,10111,11111
0_0.topo,1,26720000,26720000,12982588416,26720000,12982588416,12982588416,12982588416,26720000,12982588416,12982588416,12982588416,12982588416,12982588416,12982588416,26720000,26720000,12982588416,12982588416,12982588416,12982588416,12982588416,12982588416,26720000,12982588416,12982588416,12982588416,26720000,12982588416,26720000,26720000,1
10_0.topo,4182119424,13440000,13440000,21904,735974400,154554624,154554624,1862985200,40301958144,1754403840,1754403840,471340800,471340800,1754403840,1754403840,40301958144,40301958144,1754403840,1754403840,471340800,471340800,1754403840,1754403840,40301958144,1862985200,154554624,154554624,735974400,21904,13440000,13440000,4182119424
10_1.topo,1754403840,99456000,2822400,494320,1754403840,20885760,735974400,82551440,5446210560,4182119424,237081600,735974400,3487921920,735974400,12982588416,25810622208,25810622208,12982588416,735974400,3487921920,735974400,237081600,4182119424,5446210560,82551440,735974400,20885760,1754403840,494320,2822400,99456000,1754403840
10_10.topo,1754403840,237081600,2822400,8761600,237081600,64835840,8761600,391226892,5446210560,1754403840,237081600,1754403840,1754403840,3487921920,1754403840,80124131072,80124131072,1754403840,3487921920,1754403840,1754403840,237081600,1754403840,5446210560,391226892,8761600,64835840,237081600,8761600,2822400,237081600,1754403840
10_100.topo,735974400,1754403840,592704,197728000,1754403840,1754403840,13440000,154554624,1754403840,1754403840,13440000,154554624,25810622208,10827585280,154554624,6934320960,6934320960,154554624,10827585280,25810622208,154554624,13440000,1754403840,1754403840,154554624,13440000,1754403840,1754403840,197728000,592704,1754403840,735974400
10_1000.topo,1754403840,1754403840,237081600,5446210560,8761600,3487921920,2822400,25810622208,3487921920,8761600,40301958144,16529921856,2822400,2822400,237081600,5446210560,5446210560,237081600,2822400,2822400,16529921856,40301958144,8761600,3487921920,25810622208,2822400,3487921920,8761600,5446210560,237081600,1754403840,1754403840
10_1001.topo,735974400,20885760,154554624,937070400,237081600,1754403840,237081600,40301958144,1754403840,237081600,471340800,479785216,20885760,735974400,8761600,16529921856,16529921856,8761600,735974400,20885760,479785216,471340800,237081600,1754403840,40301958144,237081600,1754403840,237081600,937070400,154554624,20885760,735974400
10_1002.topo,735974400,237081600,49787136,735974400,20885760,1754403840,13440000,12982588416,12982588416,1754403840,197728000,307269312,471340800,5446210560,1839936,6934320960,6934320960,1839936,5446210560,471340800,307269312,197728000,1754403840,12982588416,12982588416,13440000,1754403840,20885760,735974400,49787136,237081600,735974400
10_1003.topo,197728000,592704,154554624,197728000,20885760,99456000,237081600,12982588416,12982588416,99456000,3487921920,307269312,1754403840,1754403840,735974400,25810622208,25810622208,735974400,1754403840,1754403840,307269312,3487921920,99456000,12982588416,12982588416,237081600,99456000,20885760,197728000,154554624,592704,197728000
