f0,f1,f2,f3,n_params
0,0,0,0,2744
0,0,0,1,1176
0,0,0,2,1176
0,0,0,3,196
0,0,0,4,3724
0,0,0,5,2744
0,0,0,6,2744
0,0,0,7,1176
0,0,1,0,1176
0,0,1,1,504
0,0,1,2,504
0,0,1,3,84
0,0,1,4,1596
0,0,1,5,1176
0,0,1,6,1176
0,0,1,7,504
0,0,2,0,3724
0,0,2,1,1596
0,0,2,2,1596
0,0,2,3,266
0,0,2,4,5054
0,0,2,5,3724
0,0,2,6,3724
0,0,2,7,1596
0,0,3,0,2744
0,0,3,1,1176
0,0,3,2,1176
0,0,3,3,196
0,0,3,4,3724
0,0,3,5,2744
0,0,3,6,2744
0,0,3,7,1176
0,0,4,0,1176
0,0,4,1,504
0,0,4,2,504
0,0,4,3,84
0,0,4,4,1596
0,0,4,5,1176
0,0,4,6,1176
0,0,4,7,504
0,0,5,0,196
0,0,5,1,84
0,0,5,2,84
0,0,5,3,14
0,0,5,4,266
0,0,5,5,196
0,0,5,6,196
0,0,5,7,84
0,0,6,0,2744
0,0,6,1,1176
0,0,6,2,1176
0,0,6,3,196
0,0,6,4,3724
0,0,6,5,2744
0,0,6,6,2744
0,0,6,7,1176
0,0,7,0,1176
0,0,7,1,504
0,0,7,2,504
0,0,7,3,84
0,0,7,4,1596
0,0,7,5,1176
0,0,7,6,1176
0,0,7,7,504
0,1,0,0,3724
0,1,0,1,1596
0,1,0,2,1596
0,1,0,3,266
0,1,0,4,5054
0,1,0,5,3724
0,1,0,6,3724
0,1,0,7,1596
0,1,1,0,1596
0,1,1,1,684
0,1,1,2,684
0,1,1,3,114
0,1,1,4,2166
0,1,1,5,1596
0,1,1,6,1596
0,1,1,7,684
0,1,2,0,5054
0,1,2,1,2166
0,1,2,2,2166
0,1,2,3,361
0,1,2,4,6859
0,1,2,5,5054
0,1,2,6,5054
0,1,2,7,2166
0,1,3,0,3724
0,1,3,1,1596
0,1,3,2,1596
0,1,3,3,266
0,1,3,4,5054
0,1,3,5,3724
0,1,3,6,3724
0,1,3,7,1596
0,1,4,0,1596
0,1,4,1,684
0,1,4,2,684
0,1,4,3,114
0,1,4,4,2166
0,1,4,5,1596
0,1,4,6,1596
0,1,4,7,684
0,1,5,0,266
0,1,5,1,114
0,1,5,2,114
0,1,5,3,19
0,1,5,4,361
0,1,5,5,266
0,1,5,6,266
0,1,5,7,114
0,1,6,0,3724
0,1,6,1,1596
0,1,6,2,1596
0,1,6,3,266
0,1,6,4,5054
0,1,6,5,3724
0,1,6,6,3724
0,1,6,7,1596
