p0,p1,p2,p3
19,11,11,11
11,0,0,0
11,0,0,1
11,0,0,2
11,0,0,6
11,0,0,7
11,0,0,11
11,0,1,0
11,0,1,1
11,0,1,2
11,0,1,6
11,0,1,7
11,0,1,11
11,0,2,0
11,0,2,1
11,0,2,2
19,7,11,2
19,7,11,6
19,7,11,7
19,7,11,11
19,11,0,0
19,11,0,1
19,11,0,2
19,11,0,6
19,7,7,0
19,7,7,1
19,7,7,2
19,7,7,6
19,7,7,7
19,7,7,11
19,7,11,0
19,7,11,1
19,7,2,7
19,7,2,11
19,7,6,0
19,7,6,1
19,7,6,2
19,7,6,6
19,7,6,7
19,7,6,11
19,7,1,2
19,7,1,6
19,7,1,7
19,7,1,11
19,7,2,0
19,7,2,1
19,7,2,2
19,7,2,6
11,2,0,0
11,2,0,1
11,2,0,2
11,2,0,6
11,2,0,7
11,2,0,11
11,2,1,0
11,2,1,1
11,1,7,7
11,1,7,11
11,1,11,0
11,1,11,1
11,1,11,2
11,1,11,6
11,1,11,7
11,1,11,11
11,1,6,2
11,1,6,6
11,1,6,7
11,1,6,11
11,1,7,0
11,1,7,1
11,1,7,2
11,1,7,6
11,1,2,0
11,1,2,1
11,1,2,2
11,1,2,6
11,1,2,7
11,1,2,11
11,1,6,0
11,1,6,1
11,2,11,2
11,2,11,6
11,2,11,7
11,2,11,11
11,6,0,0
11,6,0,1
11,6,0,2
11,6,0,6
11,2,7,0
11,2,7,1
11,2,7,2
11,2,7,6
11,2,7,7
11,2,7,11
11,2,11,0
11,2,11,1
11,2,2,7
11,2,2,11
11,2,6,0
11,2,6,1
11,2,6,2
11,2,6,6
11,2,6,7
11,2,6,11
11,2,1,2
11,2,1,6
11,2,1,7
11,2,1,11
11,2,2,0
11,2,2,1
11,2,2,2
11,2,2,6
11,6,7,7
11,6,7,11
11,6,11,0
11,6,11,1
11,6,11,2
11,6,11,6
11,6,11,7
11,6,11,11
11,6,6,2
11,6,6,6
11,6,6,7
11,6,6,11
11,6,7,0
11,6,7,1
11,6,7,2
11,6,7,6
11,6,2,0
11,6,2,1
11,6,2,2
11,6,2,6
11,6,2,7
11,6,2,11
11,6,6,0
11,6,6,1
11,6,0,7
11,6,0,11
11,6,1,0
11,6,1,1
11,6,1,2
11,6,1,6
11,6,1,7
11,6,1,11
11,7,7,0
11,7,7,1
11,7,7,2
11,7,7,6
11,7,7,7
11,7,7,11
11,7,11,0
11,7,11,1
11,7,2,7
11,7,2,11
11,7,6,0
11,7,6,1
11,7,6,2
11,7,6,6
11,7,6,7
11,7,6,11
11,7,1,2
11,7,1,6
11,7,1,7
11,7,1,11
11,7,2,0
11,7,2,1
11,7,2,2
11,7,2,6
11,7,0,0
11,7,0,1
11,7,0,2
11,7,0,6
11,7,0,7
11,7,0,11
11,7,1,0
11,7,1,1
11,11,6,2
11,11,6,6
11,11,6,7
11,11,6,11
11,11,7,0
11,11,7,1
11,11,7,2
11,11,7,6
11,11,2,0
11,11,2,1
11,11,2,2
11,11,2,6
11,11,2,7
11,11,2,11
11,11,6,0
11,11,6,1
11,11,0,7
11,11,0,11
11,11,1,0
11,11,1,1
11,11,1,2
11,11,1,6
11,11,1,7
11,11,1,11
11,7,11,2
11,7,11,6
11,7,11,7
11,7,11,11
11,11,0,0
11,11,0,1
11,11,0,2
11,11,0,6
12,0,2,7
12,0,2,11
12,0,6,0
12,0,6,1
12,0,6,2
12,0,6,6
12,0,6,7
12,0,6,11
12,0,1,2
12,0,1,6
12,0,1,7
12,0,1,11
12,0,2,0
12,0,2,1
12,0,2,2
12,0,2,6
12,0,0,0
12,0,0,1
12,0,0,2
12,0,0,6
12,0,0,7
12,0,0,11
12,0,1,0
12,0,1,1
11,11,7,7
11,11,7,11
11,11,11,0
11,11,11,1
11,11,11,2
11,11,11,6
11,11,11,7
11,11,11,11
12,1,2,0
12,1,2,1
12,1,2,2
12,1,2,6
12,1,2,7
12,1,2,11
12,1,6,0
12,1,6,1
12,1,0,7
12,1,0,11
12,1,1,0
12,1,1,1
12,1,1,2
12,1,1,6
12,1,1,7
12,1,1,11
12,0,11,2
12,0,11,6
12,0,11,7
12,0,11,11
12,1,0,0
12,1,0,1
12,1,0,2
12,1,0,6
12,0,7,0
12,0,7,1
12,0,7,2
12,0,7,6
12,0,7,7
12,0,7,11
12,0,11,0
12,0,11,1
12,2,1,2
12,2,1,6
12,2,1,7
12,2,1,11
12,2,2,0
12,2,2,1
12,2,2,2
12,2,2,6
12,2,0,0
12,2,0,1
12,2,0,2
12,2,0,6
12,2,0,7
12,2,0,11
12,2,1,0
12,2,1,1
12,1,7,7
12,1,7,11
12,1,11,0
12,1,11,1
12,1,11,2
12,1,11,6
12,1,11,7
12,1,11,11
12,1,6,2
12,1,6,6
12,1,6,7
12,1,6,11
12,1,7,0
12,1,7,1
12,1,7,2
12,1,7,6
12,6,0,7
12,6,0,11
12,6,1,0
12,6,1,1
12,6,1,2
12,6,1,6
12,6,1,7
12,6,1,11
12,2,11,2
12,2,11,6
12,2,11,7
12,2,11,11
12,6,0,0
12,6,0,1
12,6,0,2
12,6,0,6
12,2,7,0
12,2,7,1
12,2,7,2
12,2,7,6
12,2,7,7
12,2,7,11
12,2,11,0
12,2,11,1
12,2,2,7
12,2,2,11
12,2,6,0
12,2,6,1
12,2,6,2
12,2,6,6
12,2,6,7
12,2,6,11
12,7,0,0
12,7,0,1
12,7,0,2
12,7,0,6
12,7,0,7
12,7,0,11
12,7,1,0
12,7,1,1
12,6,7,7
12,6,7,11
12,6,11,0
12,6,11,1
12,6,11,2
12,6,11,6
12,6,11,7
12,6,11,11
12,6,6,2
12,6,6,6
12,6,6,7
12,6,6,11
12,6,7,0
12,6,7,1
12,6,7,2
12,6,7,6
12,6,2,0
12,6,2,1
12,6,2,2
12,6,2,6
12,6,2,7
12,6,2,11
12,6,6,0
12,6,6,1
12,7,11,2
12,7,11,6
12,7,11,7
12,7,11,11
12,11,0,0
12,11,0,1
12,11,0,2
12,11,0,6
12,7,7,0
12,7,7,1
12,7,7,2
12,7,7,6
12,7,7,7
12,7,7,11
12,7,11,0
12,7,11,1
12,7,2,7
12,7,2,11
12,7,6,0
12,7,6,1
12,7,6,2
12,7,6,6
12,7,6,7
12,7,6,11
12,7,1,2
12,7,1,6
12,7,1,7
12,7,1,11
12,7,2,0
12,7,2,1
12,7,2,2
12,7,2,6
12,11,7,7
12,11,7,11
12,11,11,0
12,11,11,1
12,11,11,2
12,11,11,6
12,11,11,7
12,11,11,11
12,11,6,2
12,11,6,6
12,11,6,7
12,11,6,11
12,11,7,0
12,11,7,1
12,11,7,2
12,11,7,6
12,11,2,0
12,11,2,1
12,11,2,2
12,11,2,6
12,11,2,7
12,11,2,11
12,11,6,0
12,11,6,1
12,11,0,7
12,11,0,11
12,11,1,0
12,11,1,1
12,11,1,2
12,11,1,6
12,11,1,7
12,11,1,11
13,0,7,0
13,0,7,1
13,0,7,2
13,0,7,6
13,0,7,7
13,0,7,11
13,0,11,0
13,0,11,1
13,0,2,7
13,0,2,11
13,0,6,0
13,0,6,1
13,0,6,2
13,0,6,6
13,0,6,7
13,0,6,11
13,0,1,2
13,0,1,6
13,0,1,7
13,0,1,11
13,0,2,0
13,0,2,1
13,0,2,2
13,0,2,6
13,0,0,0
13,0,0,1
13,0,0,2
13,0,0,6
13,0,0,7
13,0,0,11
13,0,1,0
13,0,1,1
13,1,6,2
13,1,6,6
13,1,6,7
13,1,6,11
13,1,7,0
13,1,7,1
13,1,7,2
