p0,p1,p2,p3
12,12,3,10
12,12,3,9
12,12,3,8
12,12,3,7
12,12,3,6
13,10,3,10
13,10,3,9
13,10,3,8
13,10,3,7
13,10,3,6
12,9,0,10
13,10,3,4
13,10,3,3
13,10,3,2
13,10,3,1
13,10,3,0
12,12,3,5
12,12,3,4
12,12,3,3
12,12,3,2
12,12,3,1
13,10,3,5
18,12,0,10
18,12,0,9
18,12,0,8
17,5,3,0
17,5,3,1
17,5,3,2
17,5,3,3
17,5,3,4
17,5,3,5
17,5,3,6
18,12,0,0
17,5,3,8
17,5,3,9
17,5,3,10
18,12,0,7
18,12,0,6
18,12,0,5
18,12,0,4
18,12,0,3
18,12,0,2
18,12,0,1
17,5,3,7
13,10,0,8
13,10,0,7
13,10,0,6
13,10,0,5
13,10,0,4
13,10,0,3
13,10,0,2
13,10,0,1
13,10,0,0
12,8,0,9
12,12,3,0
12,8,1,0
12,8,1,1
12,8,1,2
12,8,1,3
12,8,1,4
12,8,1,5
12,8,1,6
12,8,1,7
12,8,1,8
12,8,1,9
12,8,0,10
12,8,0,0
12,8,0,1
12,8,0,2
13,10,1,10
13,10,1,9
13,10,1,8
13,10,1,7
13,10,1,6
13,10,1,5
13,10,1,4
13,10,0,9
13,10,1,2
13,10,1,1
13,10,1,0
12,8,0,3
12,8,0,4
12,8,0,5
12,8,0,6
12,8,0,7
12,8,0,8
13,10,0,10
13,10,1,3
17,4,3,1
17,4,3,2
17,4,3,3
17,4,3,4
17,4,3,5
17,4,3,6
17,4,3,7
17,4,3,8
17,4,3,9
17,4,3,10
18,12,1,0
18,5,3,0
18,5,3,1
18,5,3,2
18,5,3,3
18,5,3,4
18,5,3,5
18,5,3,6
18,5,3,7
18,5,3,8
18,5,3,9
12,10,3,10
17,4,1,2
17,4,1,3
17,4,1,4
17,4,1,5
17,4,1,6
17,4,1,7
17,4,1,8
17,4,1,9
17,4,1,10
18,5,1,4
17,4,3,0
18,5,1,6
18,5,1,7
18,5,1,8
18,5,1,9
18,5,1,10
12,13,0,4
12,13,0,3
12,13,0,2
12,13,0,1
12,13,0,0
18,5,1,5
17,5,1,0
17,5,1,1
17,5,1,2
17,5,1,3
17,5,1,4
17,5,1,5
17,5,1,6
17,5,1,7
17,5,1,8
17,5,1,9
18,5,3,10
18,12,1,10
18,12,1,9
18,12,1,8
18,12,1,7
18,12,1,6
18,12,1,5
18,12,1,4
18,12,1,3
18,12,1,2
18,12,1,1
17,5,1,10
18,12,3,10
18,12,3,9
18,12,3,8
18,12,3,7
18,12,3,6
18,12,3,5
18,12,3,4
18,12,3,3
18,12,3,2
18,12,3,1
17,5,0,10
17,5,0,0
17,5,0,1
17,5,0,2
17,5,0,3
17,5,0,4
17,5,0,5
17,5,0,6
17,5,0,7
17,5,0,8
17,5,0,9
18,12,3,0
11,4,1,0
11,4,1,1
11,4,1,2
11,4,1,3
11,4,1,4
11,4,1,5
11,4,1,6
11,4,1,7
11,4,1,8
11,4,1,9
12,8,1,10
11,4,3,0
11,4,3,1
11,4,3,2
11,4,3,3
11,4,3,4
11,4,3,5
11,4,3,6
11,4,3,7
11,4,3,8
11,4,3,9
11,4,1,10
13,9,0,10
13,9,0,9
13,9,0,8
13,9,0,7
13,9,0,6
13,9,0,5
13,9,0,4
