p0,p1,p2,p3
8,10,0,0
8,10,0,1
8,10,0,2
8,10,0,3
8,10,0,4
8,10,0,5
7,9,0,3
7,9,0,2
11,9,0,5
9,15,0,0
9,15,0,1
9,15,0,2
8,9,0,3
9,15,0,4
9,15,0,5
11,9,0,4
11,9,0,3
11,9,0,2
13,5,0,0
13,5,0,1
13,5,0,2
13,5,0,3
13,5,0,4
13,5,0,5
11,9,0,1
9,15,0,3
6,16,0,5
10,7,0,0
10,7,0,1
10,7,0,2
10,7,0,3
10,7,0,4
10,7,0,5
9,4,0,0
9,4,0,1
9,4,0,2
9,4,0,3
9,4,0,4
7,9,0,4
11,2,0,0
11,2,0,1
8,4,0,5
8,4,0,4
8,4,0,3
8,4,0,2
8,4,0,1
8,4,0,0
11,2,0,2
11,2,0,3
11,2,0,4
11,2,0,5
7,9,0,5
9,4,0,5
11,7,0,5
9,7,0,3
9,7,0,2
9,7,0,1
9,7,0,0
8,15,0,5
8,15,0,4
8,15,0,3
8,15,0,2
8,15,0,1
8,15,0,0
10,15,0,5
11,9,0,0
10,15,0,2
10,15,0,1
10,15,0,0
10,10,0,5
10,10,0,4
10,10,0,3
10,10,0,2
10,10,0,1
10,10,0,0
8,9,0,0
8,9,0,1
8,9,0,2
10,15,0,4
9,10,0,5
9,10,0,4
9,10,0,3
9,10,0,2
9,10,0,1
9,10,0,0
7,9,0,1
7,9,0,0
10,9,0,0
10,9,0,1
10,4,0,0
10,4,0,1
11,7,0,4
10,4,0,3
10,4,0,4
10,4,0,5
10,9,0,2
10,9,0,3
10,9,0,4
10,9,0,5
9,7,0,5
9,7,0,4
11,7,0,0
11,7,0,1
11,7,0,2
11,7,0,3
10,4,0,2
11,15,0,3
11,15,0,4
11,15,0,5
11,5,0,0
12,7,0,5
12,7,0,4
12,16,0,0
12,16,0,1
12,16,0,2
12,16,0,3
12,16,0,4
12,16,0,5
6,16,0,4
12,15,0,4
12,15,0,3
12,15,0,2
12,15,0,1
12,15,0,0
12,7,0,3
12,7,0,2
12,7,0,1
12,7,0,0
11,5,0,1
11,5,0,2
11,5,0,3
12,15,0,5
6,9,0,0
6,9,0,1
7,7,0,5
7,7,0,4
7,7,0,3
7,7,0,2
7,7,0,1
7,7,0,0
6,9,0,2
6,9,0,3
6,9,0,4
12,5,0,5
11,15,0,2
12,5,0,3
12,5,0,2
12,5,0,1
12,5,0,0
6,9,0,5
6,10,0,0
6,10,0,1
6,10,0,2
6,10,0,3
6,10,0,4
6,10,0,5
11,15,0,0
11,15,0,1
12,5,0,4
13,16,0,2
13,16,0,1
13,16,0,0
7,15,0,2
7,15,0,1
7,15,0,0
13,9,0,5
13,9,0,4
13,9,0,3
13,9,0,2
13,9,0,1
13,9,0,0
11,5,0,4
6,2,0,4
6,2,0,3
6,2,0,2
6,2,0,1
6,2,0,0
6,16,0,2
10,16,0,0
10,16,0,1
10,16,0,2
10,16,0,3
10,16,0,4
10,16,0,5
6,16,0,3
6,2,0,5
11,5,0,5
7,16,0,5
7,16,0,4
7,16,0,3
7,16,0,2
7,16,0,1
7,16,0,0
7,2,0,0
7,2,0,1
7,2,0,2
7,2,0,3
7,2,0,4
13,16,0,3
6,16,0,0
6,4,0,5
6,4,0,4
6,4,0,3
6,4,0,2
6,4,0,1
6,4,0,0
6,16,0,1
7,15,0,5
7,15,0,4
7,15,0,3
13,16,0,5
13,16,0,4
7,2,0,5
8,7,0,2
8,7,0,3
8,7,0,4
8,7,0,5
13,4,0,3
13,4,0,2
13,4,0,1
13,4,0,0
12,2,0,4
12,2,0,3
7,10,0,0
10,2,0,3
7,10,0,2
7,10,0,3
11,4,0,5
11,4,0,4
11,4,0,3
11,4,0,2
11,4,0,1
11,4,0,0
7,10,0,4
7,10,0,5
12,2,0,2
7,10,0,1
10,2,0,4
10,2,0,5
12,10,0,5
12,10,0,4
12,10,0,3
12,10,0,2
12,10,0,1
12,10,0,0
11,16,0,5
11,16,0,4
11,16,0,3
8,7,0,1
7,4,0,1
7,4,0,2
7,4,0,3
7,4,0,4
7,4,0,5
11,16,0,2
11,16,0,1
11,16,0,0
12,2,0,5
13,4,0,5
13,4,0,4
8,7,0,0
7,4,0,0
8,2,0,2
8,2,0,3
8,2,0,4
8,2,0,5
13,10,0,1
13,10,0,0
8,5,0,5
8,5,0,4
8,5,0,3
12,4,0,0
12,4,0,1
12,2,0,1
12,4,0,3
12,4,0,4
12,4,0,5
13,15,0,5
13,15,0,4
13,15,0,3
13,15,0,2
13,15,0,1
13,15,0,0
8,5,0,2
8,5,0,1
8,5,0,0
12,4,0,2
12,2,0,0
9,16,0,5
9,16,0,4
9,16,0,3
9,16,0,2
9,16,0,1
9,16,0,0
13,7,0,5
13,7,0,4
13,7,0,3
13,7,0,2
8,2,0,1
13,7,0,0
8,16,0,5
8,16,0,4
8,16,0,3
8,16,0,2
8,16,0,1
8,16,0,0
13,10,0,5
13,10,0,4
13,10,0,3
13,10,0,2
8,2,0,0
13,7,0,1
11,10,0,3
11,10,0,4
13,2,0,0
13,2,0,1
13,2,0,2
7,5,0,5
7,5,0,4
7,5,0,3
6,7,0,4
7,5,0,1
7,5,0,0
9,2,0,5
13,2,0,3
13,2,0,4
6,15,0,5
6,15,0,4
6,15,0,3
6,7,0,5
7,5,0,2
9,2,0,3
12,9,0,0
9,2,0,1
9,2,0,0
12,9,0,1
12,9,0,2
11,10,0,0
6,5,0,5
11,10,0,2
6,5,0,3
6,5,0,2
12,9,0,3
12,9,0,4
12,9,0,5
9,2,0,4
6,5,0,1
6,5,0,0
11,10,0,1
6,5,0,4
10,2,0,2
9,9,0,0
9,9,0,1
9,9,0,5
9,5,0,0
10,5,0,4
9,5,0,1
9,5,0,2
9,5,0,3
9,5,0,4
10,2,0,1
10,5,0,2
10,5,0,1
10,5,0,0
9,9,0,2
9,9,0,3
9,5,0,5
8,9,0,5
10,15,0,3
8,9,0,4
9,9,0,4
9,2,0,2
10,5,0,3
6,7,0,3
6,7,0,2
6,7,0,1
6,7,0,0
6,15,0,2
6,15,0,1
6,15,0,0
10,5,0,5
13,2,0,5
11,10,0,5
10,2,0,0
