p0,p1,p2,p3
19,11,17,14
19,0,0,0
19,0,0,1
19,0,0,3
19,0,0,6
19,0,0,8
19,0,0,14
19,0,1,0
19,0,1,1
19,0,1,3
19,0,1,6
19,0,1,8
19,0,1,14
19,0,2,0
19,0,2,1
19,0,2,3
19,0,2,6
19,0,2,8
19,0,2,14
19,0,3,0
19,0,3,1
19,0,3,3
19,0,3,6
19,0,3,8
19,11,8,3
19,11,8,6
19,11,8,8
19,11,8,14
19,11,9,0
19,11,9,1
19,11,9,3
19,11,9,6
19,11,7,0
19,11,7,1
19,11,7,3
19,11,7,6
19,11,7,8
19,11,7,14
19,11,8,0
19,11,8,1
19,11,4,8
19,11,4,14
19,11,6,0
19,11,6,1
19,11,6,3
19,11,6,6
19,11,6,8
19,11,6,14
19,11,3,3
19,11,3,6
19,11,3,8
19,11,3,14
19,11,4,0
19,11,4,1
19,11,4,3
19,11,4,6
19,0,17,3
19,0,17,6
19,0,17,8
19,0,17,14
19,1,0,0
19,1,0,1
19,1,0,3
19,1,0,6
19,0,15,0
19,0,15,1
19,0,15,3
19,0,15,6
19,0,15,8
19,0,15,14
19,0,17,0
19,0,17,1
19,0,12,8
19,0,12,14
19,0,14,0
19,0,14,1
19,0,14,3
19,0,14,6
19,0,14,8
19,0,14,14
19,0,11,3
19,0,11,6
19,0,11,8
19,0,11,14
19,0,12,0
19,0,12,1
19,0,12,3
19,0,12,6
19,1,4,8
19,1,4,14
19,1,6,0
19,1,6,1
19,1,6,3
19,1,6,6
19,1,6,8
19,1,6,14
19,1,3,3
19,1,3,6
19,1,3,8
19,1,3,14
19,1,4,0
19,1,4,1
19,1,4,3
19,1,4,6
19,1,2,0
19,1,2,1
19,1,2,3
19,1,2,6
19,1,2,8
19,1,2,14
19,1,3,0
19,1,3,1
19,1,0,8
19,1,0,14
19,1,1,0
19,1,1,1
19,1,1,3
19,1,1,6
19,1,1,8
19,1,1,14
19,1,12,0
19,1,12,1
19,1,12,3
19,1,12,6
19,1,12,8
19,1,12,14
19,1,14,0
19,1,14,1
19,1,9,8
19,1,9,14
19,1,11,0
19,1,11,1
19,1,11,3
19,1,11,6
19,1,11,8
19,1,11,14
19,1,8,3
19,1,8,6
19,1,8,8
19,1,8,14
19,1,9,0
19,1,9,1
19,1,9,3
19,1,9,6
19,1,7,0
19,1,7,1
19,1,7,3
19,1,7,6
19,1,7,8
19,1,7,14
19,1,8,0
19,1,8,1
19,2,1,3
19,2,1,6
19,2,1,8
19,2,1,14
19,2,2,0
19,2,2,1
19,2,2,3
19,2,2,6
19,2,0,0
19,2,0,1
19,2,0,3
19,2,0,6
19,2,0,8
19,2,0,14
19,2,1,0
19,2,1,1
19,1,15,8
19,1,15,14
19,1,17,0
19,1,17,1
19,1,17,3
19,1,17,6
19,1,17,8
19,1,17,14
19,1,14,3
19,1,14,6
19,1,14,8
19,1,14,14
19,1,15,0
19,1,15,1
19,1,15,3
19,1,15,6
19,2,7,8
19,2,7,14
19,2,8,0
19,2,8,1
19,2,8,3
19,2,8,6
19,2,8,8
19,2,8,14
19,2,6,3
19,2,6,6
19,2,6,8
19,2,6,14
19,2,7,0
19,2,7,1
19,2,7,3
19,2,7,6
19,2,4,0
19,2,4,1
19,2,4,3
19,2,4,6
19,2,4,8
19,2,4,14
19,2,6,0
19,2,6,1
19,2,2,8
19,2,2,14
19,2,3,0
19,2,3,1
19,2,3,3
19,2,3,6
19,2,3,8
19,2,3,14
19,2,15,0
19,2,15,1
19,2,15,3
19,2,15,6
19,2,15,8
19,2,15,14
19,2,17,0
19,2,17,1
19,2,12,8
19,2,12,14
19,2,14,0
19,2,14,1
19,2,14,3
19,2,14,6
19,2,14,8
19,2,14,14
19,2,11,3
19,2,11,6
19,2,11,8
19,2,11,14
19,2,12,0
19,2,12,1
19,2,12,3
19,2,12,6
19,2,9,0
19,2,9,1
19,2,9,3
19,2,9,6
19,2,9,8
19,2,9,14
19,2,11,0
19,2,11,1
19,6,3,3
19,6,3,6
19,6,3,8
19,6,3,14
19,6,4,0
19,6,4,1
19,6,4,3
19,6,4,6
19,6,2,0
19,6,2,1
19,6,2,3
19,6,2,6
19,6,2,8
19,6,2,14
19,6,3,0
19,6,3,1
19,6,0,8
19,6,0,14
19,6,1,0
19,6,1,1
19,6,1,3
19,6,1,6
19,6,1,8
19,6,1,14
19,2,17,3
19,2,17,6
19,2,17,8
19,2,17,14
19,6,0,0
19,6,0,1
19,6,0,3
19,6,0,6
19,6,9,8
19,6,9,14
19,6,11,0
19,6,11,1
19,6,11,3
19,6,11,6
19,6,11,8
19,6,11,14
19,6,8,3
19,6,8,6
19,6,8,8
19,6,8,14
19,6,9,0
19,6,9,1
19,6,9,3
19,6,9,6
