p0,p1,p2,p3
14,0,0,0
14,0,1,0
14,0,3,0
14,0,6,0
14,0,8,0
14,0,14,0
14,1,0,0
14,1,1,0
14,1,3,0
14,1,6,0
14,1,8,0
14,1,14,0
14,2,0,0
14,2,1,0
14,2,3,0
14,2,6,0
14,2,8,0
14,2,14,0
14,6,0,0
14,6,1,0
14,6,3,0
14,6,6,0
14,6,8,0
14,6,14,0
14,7,0,0
14,7,1,0
14,7,3,0
14,7,6,0
14,7,8,0
14,7,14,0
14,11,0,0
14,11,1,0
14,11,3,0
14,11,6,0
14,11,8,0
14,11,14,0
15,0,0,0
15,0,1,0
15,0,3,0
15,0,6,0
15,0,8,0
15,0,14,0
15,1,0,0
15,1,1,0
15,1,3,0
15,1,6,0
15,1,8,0
15,1,14,0
15,2,0,0
15,2,1,0
15,2,3,0
15,2,6,0
15,2,8,0
15,2,14,0
15,6,0,0
15,6,1,0
15,6,3,0
15,6,6,0
15,6,8,0
15,6,14,0
15,7,0,0
15,7,1,0
15,7,3,0
15,7,6,0
15,7,8,0
15,7,14,0
15,11,0,0
15,11,1,0
15,11,3,0
15,11,6,0
15,11,8,0
15,11,14,0
16,0,0,0
16,0,1,0
16,0,3,0
16,0,6,0
16,0,8,0
16,0,14,0
16,1,0,0
16,1,1,0
16,1,3,0
16,1,6,0
16,1,8,0
16,1,14,0
16,2,0,0
16,2,1,0
16,2,3,0
16,2,6,0
16,2,8,0
16,2,14,0
16,6,0,0
16,6,1,0
16,6,3,0
16,6,6,0
16,6,8,0
16,6,14,0
16,7,0,0
16,7,1,0
16,7,3,0
16,7,6,0
16,7,8,0
16,7,14,0
16,11,0,0
16,11,1,0
16,11,3,0
16,11,6,0
16,11,8,0
16,11,14,0
17,0,0,0
17,0,1,0
17,0,3,0
17,0,6,0
17,0,8,0
17,0,14,0
17,1,0,0
17,1,1,0
17,1,3,0
17,1,6,0
17,1,8,0
17,1,14,0
17,2,0,0
17,2,1,0
17,2,3,0
17,2,6,0
17,2,8,0
17,2,14,0
17,6,0,0
17,6,1,0
17,6,3,0
17,6,6,0
17,6,8,0
17,6,14,0
17,7,0,0
17,7,1,0
17,7,3,0
17,7,6,0
17,7,8,0
17,7,14,0
17,11,0,0
17,11,1,0
17,11,3,0
17,11,6,0
17,11,8,0
17,11,14,0
18,0,0,0
18,0,1,0
18,0,3,0
18,0,6,0
18,0,8,0
18,0,14,0
18,1,0,0
18,1,1,0
18,1,3,0
18,1,6,0
18,1,8,0
18,1,14,0
18,2,0,0
18,2,1,0
18,2,3,0
18,2,6,0
18,2,8,0
18,2,14,0
18,6,0,0
18,6,1,0
18,6,3,0
18,6,6,0
18,6,8,0
18,6,14,0
18,7,0,0
18,7,1,0
18,7,3,0
18,7,6,0
18,7,8,0
18,7,14,0
18,11,0,0
18,11,1,0
18,11,3,0
18,11,6,0
18,11,8,0
18,11,14,0
19,0,0,0
19,0,1,0
19,0,3,0
19,0,6,0
19,0,8,0
19,0,14,0
19,1,0,0
19,1,1,0
19,1,3,0
19,1,6,0
19,1,8,0
19,1,14,0
19,2,0,0
19,2,1,0
19,2,3,0
19,2,6,0
19,2,8,0
19,2,14,0
19,6,0,0
19,6,1,0
19,6,3,0
19,6,6,0
19,6,8,0
19,6,14,0
19,7,0,0
19,7,1,0
19,7,3,0
19,7,6,0
19,7,8,0
19,7,14,0
19,11,0,0
19,11,1,0
19,11,3,0
19,11,6,0
19,11,8,0
19,11,14,0
