p0,p1,p2,p3
19,0,5,18
3,0,0,0
3,0,0,1
3,0,0,2
3,0,0,3
3,0,0,4
3,0,0,5
3,0,0,6
3,0,0,7
3,0,0,8
3,0,0,9
3,0,0,10
3,0,0,11
3,0,0,12
3,0,0,13
3,0,0,14
3,0,0,15
3,0,0,16
3,0,0,17
3,0,0,18
3,0,1,0
3,0,1,1
3,0,1,2
3,0,1,3
3,0,1,4
3,0,1,5
3,0,1,6
3,0,1,7
19,0,3,17
19,0,3,18
19,0,4,0
19,0,4,1
19,0,4,2
19,0,4,3
19,0,4,4
19,0,4,5
19,0,3,9
19,0,3,10
19,0,3,11
19,0,3,12
19,0,3,13
19,0,3,14
19,0,3,15
19,0,3,16
19,0,3,1
19,0,3,2
19,0,3,3
19,0,3,4
19,0,3,5
19,0,3,6
19,0,3,7
19,0,3,8
19,0,2,12
19,0,2,13
19,0,2,14
19,0,2,15
19,0,2,16
19,0,2,17
19,0,2,18
19,0,3,0
3,0,4,8
3,0,4,9
3,0,4,10
3,0,4,11
3,0,4,12
3,0,4,13
3,0,4,14
3,0,4,15
3,0,4,0
3,0,4,1
3,0,4,2
3,0,4,3
3,0,4,4
3,0,4,5
3,0,4,6
3,0,4,7
3,0,3,11
3,0,3,12
3,0,3,13
3,0,3,14
3,0,3,15
3,0,3,16
3,0,3,17
3,0,3,18
3,0,3,3
3,0,3,4
3,0,3,5
3,0,3,6
3,0,3,7
3,0,3,8
3,0,3,9
3,0,3,10
4,0,0,2
4,0,0,3
4,0,0,4
4,0,0,5
4,0,0,6
4,0,0,7
4,0,0,8
4,0,0,9
3,0,5,13
3,0,5,14
3,0,5,15
3,0,5,16
3,0,5,17
3,0,5,18
4,0,0,0
4,0,0,1
3,0,5,5
3,0,5,6
3,0,5,7
3,0,5,8
3,0,5,9
3,0,5,10
3,0,5,11
3,0,5,12
3,0,4,16
3,0,4,17
3,0,4,18
3,0,5,0
3,0,5,1
3,0,5,2
3,0,5,3
3,0,5,4
4,0,1,15
4,0,1,16
4,0,1,17
4,0,1,18
4,0,2,0
4,0,2,1
4,0,2,2
4,0,2,3
4,0,1,7
4,0,1,8
4,0,1,9
4,0,1,10
4,0,1,11
4,0,1,12
4,0,1,13
4,0,1,14
4,0,0,18
4,0,1,0
4,0,1,1
4,0,1,2
4,0,1,3
4,0,1,4
4,0,1,5
4,0,1,6
4,0,0,10
4,0,0,11
4,0,0,12
4,0,0,13
4,0,0,14
4,0,0,15
4,0,0,16
4,0,0,17
4,0,3,9
4,0,3,10
4,0,3,11
4,0,3,12
4,0,3,13
4,0,3,14
4,0,3,15
4,0,3,16
4,0,3,1
4,0,3,2
4,0,3,3
4,0,3,4
4,0,3,5
4,0,3,6
4,0,3,7
4,0,3,8
4,0,2,12
4,0,2,13
4,0,2,14
4,0,2,15
4,0,2,16
4,0,2,17
4,0,2,18
4,0,3,0
4,0,2,4
4,0,2,5
4,0,2,6
4,0,2,7
4,0,2,8
4,0,2,9
4,0,2,10
4,0,2,11
4,0,5,3
4,0,5,4
4,0,5,5
4,0,5,6
4,0,5,7
4,0,5,8
4,0,5,9
4,0,5,10
4,0,4,14
4,0,4,15
4,0,4,16
4,0,4,17
4,0,4,18
4,0,5,0
4,0,5,1
4,0,5,2
4,0,4,6
4,0,4,7
4,0,4,8
4,0,4,9
4,0,4,10
4,0,4,11
4,0,4,12
4,0,4,13
4,0,3,17
4,0,3,18
4,0,4,0
4,0,4,1
4,0,4,2
4,0,4,3
4,0,4,4
4,0,4,5
5,0,0,16
5,0,0,17
5,0,0,18
5,0,1,0
5,0,1,1
5,0,1,2
5,0,1,3
5,0,1,4
5,0,0,8
5,0,0,9
5,0,0,10
5,0,0,11
5,0,0,12
5,0,0,13
5,0,0,14
5,0,0,15
