f0,f1,f2,f3,n_params
4,1,0,0,3025
4,1,0,1,825
4,1,0,2,1650
4,1,0,3,275
4,1,0,4,1650
4,1,0,5,275
4,1,0,6,3025
4,1,0,7,825
4,1,1,0,1650
4,1,1,1,450
4,1,1,2,900
4,1,1,3,150
4,1,1,4,900
4,1,1,5,150
4,1,1,6,1650
4,1,1,7,450
4,1,2,0,1650
4,1,2,1,450
4,1,2,2,900
4,1,2,3,150
4,1,2,4,900
4,1,2,5,150
4,1,2,6,1650
4,1,2,7,450
4,1,3,0,3025
4,1,3,1,825
4,1,3,2,1650
4,1,3,3,275
4,1,3,4,1650
4,1,3,5,275
4,1,3,6,3025
4,1,3,7,825
4,1,4,0,825
4,1,4,1,225
4,1,4,2,450
4,1,4,3,75
4,1,4,4,450
4,1,4,5,75
4,1,4,6,825
4,1,4,7,225
4,1,5,0,275
4,1,5,1,75
4,1,5,2,150
4,1,5,3,25
4,1,5,4,150
4,1,5,5,25
4,1,5,6,275
4,1,5,7,75
4,1,6,0,275
4,1,6,1,75
4,1,6,2,150
4,1,6,3,25
4,1,6,4,150
4,1,6,5,25
4,1,6,6,275
4,1,6,7,75
4,1,7,0,825
4,1,7,1,225
4,1,7,2,450
4,1,7,3,75
4,1,7,4,450
4,1,7,5,75
4,1,7,6,825
4,1,7,7,225
4,3,0,0,4840
4,3,0,1,1320
4,3,0,2,2640
4,3,0,3,440
4,3,0,4,2640
4,3,0,5,440
4,3,0,6,4840
4,3,0,7,1320
4,3,1,0,2640
4,3,1,1,720
4,3,1,2,1440
4,3,1,3,240
4,3,1,4,1440
4,3,1,5,240
4,3,1,6,2640
4,3,1,7,720
4,3,2,0,2640
4,3,2,1,720
4,3,2,2,1440
4,3,2,3,240
4,3,2,4,1440
4,3,2,5,240
4,3,2,6,2640
4,3,2,7,720
4,3,3,0,4840
4,3,3,1,1320
4,3,3,2,2640
4,3,3,3,440
4,3,3,4,2640
4,3,3,5,440
4,3,3,6,4840
4,3,3,7,1320
4,3,4,0,1320
4,3,4,1,360
4,3,4,2,720
4,3,4,3,120
4,3,4,4,720
4,3,4,5,120
4,3,4,6,1320
4,3,4,7,360
4,3,5,0,440
4,3,5,1,120
4,3,5,2,240
4,3,5,3,40
