p0,p1,p2,p3
12,5,2,0
9,16,11,1
9,16,11,0
4,18,2,6
12,18,2,6
4,10,0,6
4,18,2,1
4,18,2,0
11,10,2,0
12,5,1,6
9,5,2,6
9,5,11,1
4,18,1,6
12,5,1,1
12,5,1,0
4,18,1,1
4,18,1,0
11,10,2,1
12,18,2,1
9,5,11,6
12,18,2,0
4,18,0,6
9,5,11,0
11,10,1,0
7,5,2,6
11,10,1,1
4,18,6,6
12,16,1,0
12,16,1,1
4,18,6,1
4,18,6,0
12,16,1,6
11,10,1,6
17,10,6,0
12,5,2,1
17,10,6,6
12,16,2,0
12,16,2,1
4,10,0,0
17,10,7,0
17,10,7,1
12,5,2,6
4,10,0,1
17,10,7,6
12,16,2,6
9,16,11,6
17,10,6,1
12,16,6,0
12,16,6,1
17,13,7,6
4,10,2,6
12,16,6,6
12,18,1,6
15,16,6,6
11,18,6,0
11,18,6,1
12,16,7,0
12,5,0,6
15,16,6,1
9,16,2,6
15,16,6,0
12,16,7,6
9,16,2,1
9,16,2,0
11,5,11,6
11,18,6,6
17,13,7,1
9,16,1,6
17,16,11,6
12,16,7,1
4,10,1,0
9,16,7,6
4,18,0,1
4,18,0,0
9,16,7,1
9,16,7,0
4,10,1,1
12,5,0,1
12,5,0,0
15,16,7,6
9,16,6,6
4,10,2,1
17,10,11,1
9,16,6,1
9,16,6,0
17,16,0,0
4,10,1,6
17,10,11,6
17,16,0,1
15,16,7,1
15,16,7,0
11,10,2,6
4,10,2,0
17,10,11,0
12,5,11,1
12,5,11,0
9,18,2,1
9,18,2,0
11,10,0,1
11,18,0,0
11,18,0,1
9,18,1,6
17,13,11,6
11,18,0,6
4,18,7,0
9,18,1,0
7,5,1,0
7,5,1,1
11,10,0,6
9,18,0,6
11,18,1,0
11,18,1,1
9,18,0,1
9,18,0,0
17,13,11,1
2,16,2,6
9,18,1,1
9,18,6,1
9,18,6,0
15,13,0,0
2,16,7,6
7,13,1,6
7,5,0,0
2,16,7,1
2,16,7,0
7,5,0,1
7,13,1,1
7,13,1,0
9,18,2,6
9,13,1,6
11,10,0,0
2,16,6,1
2,16,6,0
7,5,0,6
7,13,0,6
11,13,0,1
11,13,0,0
12,5,11,6
7,13,0,1
7,13,0,0
2,16,6,6
17,10,1,6
9,5,7,1
12,5,7,1
12,5,7,0
15,16,11,1
17,10,2,0
17,10,2,1
15,16,11,0
9,5,7,6
17,10,2,6
12,5,6,6
9,5,6,0
11,18,2,1
12,5,6,1
12,5,6,0
7,5,2,0
12,16,0,0
12,16,0,1
7,5,2,1
4,18,7,6
11,18,2,6
12,16,0,6
4,18,7,1
11,18,2,0
9,5,6,1
2,16,2,1
2,16,2,0
7,5,1,6
17,10,0,0
17,10,0,1
11,18,1,6
2,16,1,6
9,5,6,6
17,10,0,6
2,16,1,1
9,5,7,0
17,13,11,0
15,16,11,6
2,16,0,6
17,10,1,0
17,10,1,1
4,18,11,6
2,16,0,1
2,16,0,0
4,18,11,1
4,18,11,0
12,5,7,6
2,16,1,0
9,13,11,6
2,13,1,1
2,13,1,0
9,13,11,1
9,13,11,0
9,13,0,1
4,16,0,6
11,5,7,6
17,16,2,0
4,16,0,1
7,5,6,0
9,13,0,6
11,5,0,0
11,5,0,1
2,13,0,6
7,5,11,0
11,5,0,6
7,5,11,1
2,13,0,1
2,13,0,0
17,16,2,1
11,5,1,0
4,16,0,0
7,10,6,1
7,10,6,0
4,10,11,6
17,16,1,6
17,16,6,6
11,18,11,0
11,18,11,1
15,10,11,0
15,10,11,1
2,13,2,6
17,16,6,1
9,13,0,0
17,16,6,0
4,16,2,6
2,13,2,1
2,13,2,0
4,16,2,1
4,16,2,0
11,18,11,6
4,16,1,6
2,13,1,6
4,16,1,1
4,16,1,0
15,10,11,6
17,13,1,0
17,13,1,1
7,10,1,1
7,10,1,0
17,13,1,6
9,13,1,1
11,10,6,6
17,16,2,6
17,13,2,0
17,13,2,1
11,5,1,1
11,10,6,1
17,13,2,6
11,10,6,0
9,13,2,6
11,5,6,0
11,5,6,1
9,13,2,1
9,13,2,0
7,10,0,1
7,10,0,0
11,5,6,6
7,10,0,6
7,10,2,6
11,10,7,6
11,5,1,6
11,5,7,1
9,13,7,6
7,10,2,1
7,10,2,0
9,13,7,1
9,13,7,0
7,5,11,6
11,5,2,0
9,13,1,0
17,13,0,0
9,13,6,6
17,13,0,1
11,5,2,6
9,13,6,1
9,13,6,0
11,10,7,1
11,10,7,0
17,13,0,6
11,5,7,0
7,10,1,6
11,5,2,1
2,13,11,6
12,16,11,0
12,16,11,1
15,10,1,0
15,10,1,1
2,13,11,1
2,13,11,0
15,10,1,6
7,5,7,0
7,5,7,1
11,10,11,0
15,10,2,0
15,10,2,1
