p0,p1,p2,p3
19,11,17,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,11,0
2,0,12,0
2,0,14,0
2,0,15,0
2,0,17,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
19,6,2,0
19,6,3,0
19,6,4,0
19,6,6,0
19,6,7,0
19,6,8,0
19,6,9,0
19,6,11,0
19,2,9,0
19,2,11,0
19,2,12,0
19,2,14,0
19,2,15,0
19,2,17,0
19,6,0,0
19,6,1,0
19,2,0,0
19,2,1,0
19,2,2,0
19,2,3,0
19,2,4,0
19,2,6,0
19,2,7,0
19,2,8,0
19,1,7,0
19,1,8,0
19,1,9,0
19,1,11,0
19,1,12,0
19,1,14,0
19,1,15,0
19,1,17,0
2,11,12,0
2,11,14,0
2,11,15,0
2,11,17,0
4,0,0,0
4,0,1,0
4,0,2,0
4,0,3,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,11,0
2,7,9,0
2,7,11,0
2,7,12,0
2,7,14,0
2,7,15,0
2,7,17,0
2,11,0,0
2,11,1,0
2,7,0,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,6,0
2,7,7,0
2,7,8,0
4,2,0,0
4,2,1,0
4,2,2,0
4,2,3,0
4,2,4,0
4,2,6,0
4,2,7,0
4,2,8,0
4,1,7,0
4,1,8,0
4,1,9,0
4,1,11,0
4,1,12,0
4,1,14,0
4,1,15,0
4,1,17,0
4,0,15,0
4,0,17,0
4,1,0,0
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,6,0
4,0,4,0
4,0,6,0
4,0,7,0
4,0,8,0
4,0,9,0
4,0,11,0
4,0,12,0
4,0,14,0
4,7,4,0
4,7,6,0
4,7,7,0
4,7,8,0
4,7,9,0
4,7,11,0
4,7,12,0
4,7,14,0
4,6,12,0
4,6,14,0
4,6,15,0
4,6,17,0
4,7,0,0
4,7,1,0
4,7,2,0
4,7,3,0
4,6,2,0
4,6,3,0
4,6,4,0
4,6,6,0
4,6,7,0
4,6,8,0
4,6,9,0
4,6,11,0
4,2,9,0
4,2,11,0
4,2,12,0
4,2,14,0
4,2,15,0
4,2,17,0
4,6,0,0
4,6,1,0
5,0,9,0
5,0,11,0
5,0,12,0
5,0,14,0
5,0,15,0
5,0,17,0
5,1,0,0
5,1,1,0
5,0,0,0
5,0,1,0
5,0,2,0
5,0,3,0
5,0,4,0
5,0,6,0
5,0,7,0
5,0,8,0
4,11,7,0
4,11,8,0
4,11,9,0
4,11,11,0
4,11,12,0
4,11,14,0
4,11,15,0
4,11,17,0
4,7,15,0
4,7,17,0
4,11,0,0
4,11,1,0
4,11,2,0
4,11,3,0
4,11,4,0
4,11,6,0
5,2,15,0
5,2,17,0
5,6,0,0
5,6,1,0
5,6,2,0
5,6,3,0
5,6,4,0
5,6,6,0
5,2,4,0
5,2,6,0
5,2,7,0
5,2,8,0
5,2,9,0
5,2,11,0
5,2,12,0
5,2,14,0
5,1,12,0
5,1,14,0
5,1,15,0
5,1,17,0
5,2,0,0
5,2,1,0
5,2,2,0
5,2,3,0
5,1,2,0
5,1,3,0
5,1,4,0
5,1,6,0
5,1,7,0
5,1,8,0
5,1,9,0
5,1,11,0
5,11,2,0
5,11,3,0
5,11,4,0
5,11,6,0
5,11,7,0
5,11,8,0
5,11,9,0
5,11,11,0
5,7,9,0
5,7,11,0
5,7,12,0
5,7,14,0
5,7,15,0
5,7,17,0
5,11,0,0
5,11,1,0
5,7,0,0
5,7,1,0
5,7,2,0
5,7,3,0
5,7,4,0
5,7,6,0
5,7,7,0
5,7,8,0
5,6,7,0
5,6,8,0
5,6,9,0
