p0,p1,p2,p3
11,13,0,3
11,13,0,2
11,13,0,1
11,13,0,0
7,5,0,5
7,5,0,4
7,5,0,3
7,5,0,2
7,5,0,1
7,5,0,0
7,12,0,0
9,5,0,0
9,5,0,1
9,5,0,2
9,5,0,3
15,12,0,0
11,4,0,2
11,4,0,1
11,4,0,0
12,5,0,0
9,12,0,0
9,12,0,1
9,12,0,2
9,5,0,4
9,12,0,4
9,12,0,5
7,12,0,5
7,12,0,4
7,12,0,3
7,12,0,2
7,12,0,1
9,5,0,5
9,12,0,3
15,10,0,1
15,10,0,0
17,9,0,5
17,9,0,4
11,3,0,5
11,3,0,4
11,3,0,3
11,13,0,4
11,3,0,1
11,3,0,0
17,9,0,3
17,9,0,2
17,9,0,1
17,9,0,0
17,4,0,0
17,4,0,1
11,3,0,2
11,13,0,5
15,4,0,0
15,4,0,1
15,4,0,2
15,4,0,3
15,4,0,4
15,4,0,5
15,10,0,2
4,9,0,1
4,9,0,2
4,9,0,3
4,9,0,4
4,9,0,5
15,10,0,5
15,10,0,4
15,10,0,3
4,9,0,0
11,5,0,0
17,3,0,0
17,3,0,1
17,3,0,2
17,3,0,3
17,3,0,4
17,3,0,5
11,4,0,3
12,10,0,1
12,10,0,2
12,10,0,3
12,10,0,4
12,10,0,5
2,12,0,0
7,4,0,0
7,4,0,1
12,10,0,0
7,13,0,5
7,13,0,4
7,13,0,3
7,13,0,2
7,13,0,1
7,13,0,0
15,3,0,0
11,5,0,1
15,3,0,2
15,3,0,3
15,3,0,4
15,3,0,5
11,5,0,5
11,5,0,4
11,5,0,3
11,5,0,2
15,3,0,1
4,8,0,0
4,8,0,1
4,8,0,2
4,8,0,3
4,8,0,4
4,8,0,5
17,10,0,2
7,4,0,2
17,10,0,0
12,5,0,5
12,5,0,4
12,5,0,3
12,5,0,2
12,5,0,1
11,4,0,5
11,4,0,4
17,10,0,1
7,4,0,3
7,4,0,4
7,4,0,5
2,12,0,1
2,12,0,2
2,12,0,3
2,12,0,4
17,10,0,3
11,12,0,0
11,12,0,1
11,12,0,2
11,12,0,3
11,12,0,4
11,12,0,5
17,10,0,5
17,10,0,4
2,12,0,5
12,3,0,1
12,3,0,0
4,13,0,5
7,10,0,5
7,10,0,4
7,10,0,3
7,10,0,2
17,4,0,2
7,10,0,0
4,13,0,4
4,13,0,3
4,13,0,2
7,8,0,0
7,8,0,1
7,8,0,2
7,8,0,3
7,10,0,1
17,5,0,5
12,3,0,5
12,3,0,4
9,3,0,5
9,3,0,4
9,3,0,3
9,3,0,2
12,3,0,2
9,3,0,0
15,8,0,5
15,8,0,4
15,8,0,3
15,8,0,2
15,8,0,1
15,8,0,0
12,3,0,3
9,3,0,1
12,13,0,2
12,13,0,3
12,13,0,4
12,13,0,5
4,12,0,0
4,12,0,1
4,12,0,2
7,8,0,4
4,12,0,4
4,12,0,5
7,9,0,0
7,9,0,1
7,9,0,2
7,9,0,3
7,9,0,4
7,9,0,5
4,12,0,3
7,8,0,5
4,13,0,1
4,13,0,0
2,4,0,5
2,4,0,4
2,4,0,3
2,4,0,2
2,3,0,5
2,4,0,0
12,13,0,0
12,13,0,1
2,3,0,0
2,3,0,1
2,3,0,2
2,3,0,3
2,3,0,4
2,4,0,1
12,4,0,3
12,4,0,2
12,4,0,1
12,4,0,0
9,4,0,5
9,4,0,4
9,4,0,3
17,5,0,4
9,4,0,1
9,4,0,0
15,9,0,5
15,9,0,4
15,9,0,3
15,9,0,2
15,9,0,1
15,9,0,0
9,4,0,2
17,4,0,3
17,4,0,4
2,13,0,0
2,13,0,1
2,13,0,2
2,13,0,3
2,13,0,4
12,4,0,4
17,4,0,5
9,13,0,0
9,13,0,1
9,13,0,2
9,13,0,3
9,13,0,4
9,13,0,5
12,4,0,5
2,13,0,5
2,5,0,5
2,5,0,4
2,5,0,3
2,5,0,2
2,5,0,1
2,5,0,0
12,12,0,0
4,10,0,0
12,12,0,2
12,12,0,3
12,12,0,4
12,12,0,5
17,5,0,0
17,5,0,1
17,5,0,2
17,5,0,3
12,12,0,1
4,10,0,1
4,10,0,2
4,10,0,3
4,10,0,4
4,10,0,5
15,5,0,0
15,5,0,1
15,5,0,5
17,8,0,5
17,8,0,4
17,8,0,3
17,8,0,2
17,8,0,1
17,8,0,0
15,5,0,3
15,5,0,4
15,5,0,2
9,10,0,0
2,10,0,2
2,10,0,3
2,10,0,4
2,10,0,5
9,8,0,5
9,8,0,4
9,8,0,3
9,8,0,2
7,3,0,1
9,8,0,0
11,9,0,0
11,9,0,1
11,9,0,2
11,9,0,3
11,9,0,4
12,9,0,5
12,9,0,4
12,9,0,3
9,8,0,1
7,3,0,0
4,3,0,0
4,3,0,1
4,3,0,2
4,3,0,3
4,3,0,4
4,3,0,5
11,8,0,5
11,8,0,4
9,10,0,1
11,8,0,2
11,8,0,1
11,8,0,0
2,10,0,0
2,10,0,1
9,10,0,5
9,10,0,4
9,10,0,3
9,10,0,2
11,8,0,3
9,9,0,5
17,12,0,0
17,12,0,1
17,12,0,2
4,4,0,5
4,4,0,4
4,4,0,3
4,4,0,2
4,4,0,1
12,9,0,2
17,12,0,3
17,12,0,4
17,12,0,5
2,9,0,0
2,9,0,1
2,9,0,2
2,9,0,3
2,9,0,4
2,9,0,5
4,4,0,0
15,13,0,0
11,9,0,5
9,9,0,0
15,13,0,1
15,13,0,2
15,13,0,3
11,10,0,5
11,10,0,4
11,10,0,3
9,9,0,4
9,9,0,2
11,10,0,2
11,10,0,1
11,10,0,0
15,13,0,4
15,13,0,5
12,9,0,1
12,9,0,0
9,9,0,3
9,9,0,1
7,3,0,5
4,5,0,5
2,8,0,5
2,8,0,4
2,8,0,3
2,8,0,2
2,8,0,1
2,8,0,0
4,5,0,4
4,5,0,3
4,5,0,2
17,13,0,5
17,13,0,4
17,13,0,3
7,3,0,4
17,13,0,1
17,13,0,0
4,5,0,1
4,5,0,0
12,8,0,0
12,8,0,1
12,8,0,2
12,8,0,3
12,8,0,4
15,12,0,5
15,12,0,4
15,12,0,3
15,12,0,2
12,8,0,5
17,13,0,2
7,3,0,2
15,12,0,1
7,3,0,3
