p0,p1,p2,p3
6,9,3,0
7,2,8,0
7,4,4,0
6,2,4,0
6,2,3,0
10,7,8,0
9,7,4,0
9,4,12,0
10,9,12,0
10,7,9,0
7,15,12,0
9,7,3,0
6,9,8,0
6,2,12,0
7,4,8,0
7,2,3,0
10,7,12,0
7,4,9,0
8,4,3,0
8,7,8,0
8,4,4,0
8,2,12,0
9,9,3,0
8,7,9,0
7,4,12,0
7,2,4,0
9,7,12,0
10,7,3,0
7,15,8,0
10,7,4,0
9,4,8,0
10,15,4,0
8,9,4,0
8,9,12,0
6,2,8,0
7,2,12,0
9,9,4,0
10,15,3,0
7,4,3,0
9,4,9,0
7,15,9,0
8,9,3,0
6,2,9,0
10,9,8,0
8,7,3,0
9,7,8,0
9,15,12,0
6,9,4,0
10,9,9,0
8,7,4,0
7,2,9,0
9,15,4,0
9,7,9,0
8,2,3,0
8,15,9,0
8,15,8,0
7,9,9,0
10,4,9,0
10,2,12,0
6,15,12,0
9,2,8,0
7,9,8,0
6,7,8,0
10,4,8,0
10,2,4,0
6,4,12,0
9,2,9,0
7,9,3,0
6,7,9,0
9,9,12,0
8,15,3,0
6,4,3,0
7,9,4,0
6,7,12,0
10,4,4,0
6,4,4,0
10,4,3,0
9,2,12,0
8,15,4,0
6,15,3,0
9,15,9,0
9,9,8,0
8,2,9,0
8,4,8,0
9,15,8,0
8,2,8,0
6,15,4,0
8,4,9,0
9,9,9,0
8,7,12,0
10,2,8,0
6,4,8,0
9,2,3,0
8,15,12,0
10,4,12,0
6,7,3,0
10,2,3,0
7,9,12,0
9,2,4,0
8,2,4,0
6,15,8,0
10,2,9,0
6,7,4,0
6,15,9,0
8,4,12,0
6,4,9,0
8,9,9,0
7,7,12,0
6,9,9,0
6,9,12,0
9,4,3,0
10,9,4,0
7,7,9,0
10,15,12,0
10,15,9,0
8,9,8,0
9,4,4,0
7,15,3,0
9,15,3,0
7,7,4,0
10,15,8,0
10,9,3,0
7,7,8,0
7,15,4,0
7,7,3,0
