p0,p1,p2,p3
6,2,4,6
6,1,8,0
8,2,9,6
9,1,9,0
8,1,8,6
10,2,8,6
9,1,9,1
6,2,3,1
8,2,4,6
10,1,12,1
6,1,4,6
6,2,3,0
6,2,12,1
7,1,12,0
8,2,9,1
7,1,12,1
8,2,9,0
10,1,4,0
6,2,12,0
9,1,4,6
9,2,12,0
9,2,12,1
8,1,3,1
10,1,12,0
9,1,12,6
6,1,8,1
8,1,4,0
6,1,4,1
10,2,8,0
9,1,12,1
9,1,12,0
10,2,8,1
10,2,4,1
10,2,4,0
8,1,8,0
6,1,4,0
8,1,8,1
9,2,12,6
10,1,4,6
10,2,3,6
7,1,8,6
8,1,3,6
7,2,4,6
7,2,9,1
7,2,9,0
8,2,8,0
9,2,4,6
7,1,8,0
6,1,12,1
8,2,12,6
6,1,12,0
7,2,4,0
7,2,4,1
7,1,8,1
8,1,3,0
8,2,8,6
8,2,8,1
9,1,9,6
6,1,12,6
6,2,12,6
8,1,9,0
8,1,9,1
10,1,4,1
10,1,12,6
8,2,12,0
10,2,3,0
7,2,3,6
10,2,3,1
7,1,12,6
7,2,3,0
7,2,3,1
8,1,12,1
8,1,12,0
7,2,9,6
8,1,9,6
8,2,12,1
8,1,12,6
9,1,3,1
7,2,12,0
9,1,8,0
6,1,9,1
6,1,9,0
6,2,8,6
7,1,9,6
6,2,3,6
9,2,3,6
9,2,8,6
9,1,3,6
9,2,4,0
7,1,3,0
7,1,3,1
6,1,3,0
6,1,3,1
9,2,4,1
10,1,3,1
10,1,3,0
9,2,9,0
7,2,12,6
9,2,9,1
6,2,9,1
6,2,9,0
9,1,8,1
7,2,8,0
10,1,8,6
10,2,12,1
9,1,3,0
7,2,8,1
10,2,12,0
9,2,9,6
10,2,9,0
10,2,9,1
10,1,8,1
9,1,8,6
7,2,12,1
10,1,8,0
10,2,12,6
9,2,8,0
6,2,4,0
6,2,4,1
9,2,3,1
9,2,3,0
9,1,4,0
9,1,4,1
8,1,4,6
6,2,9,6
10,1,9,6
8,2,4,0
8,2,4,1
7,1,4,1
10,2,4,6
6,1,8,6
10,1,3,6
10,2,9,6
8,1,4,1
7,1,4,0
8,2,3,0
8,2,3,1
9,2,8,1
6,2,8,1
7,1,3,6
7,1,9,1
10,1,9,0
7,2,8,6
7,1,9,0
6,1,3,6
8,2,3,6
10,1,9,1
7,1,4,6
6,2,8,0
6,1,9,6
