p0,p1,p2,p3
19,11,5,14
11,0,0,0
11,0,0,1
11,0,0,3
11,0,0,6
11,0,0,8
11,0,0,14
11,0,1,0
11,0,1,1
11,0,1,3
11,0,1,6
11,0,1,8
11,0,1,14
11,0,2,0
11,0,2,1
11,0,2,3
19,7,5,3
19,7,5,6
19,7,5,8
19,7,5,14
19,11,0,0
19,11,0,1
19,11,0,3
19,11,0,6
19,7,4,0
19,7,4,1
19,7,4,3
19,7,4,6
19,7,4,8
19,7,4,14
19,7,5,0
19,7,5,1
19,7,2,8
19,7,2,14
19,7,3,0
19,7,3,1
19,7,3,3
19,7,3,6
19,7,3,8
19,7,3,14
19,7,1,3
19,7,1,6
19,7,1,8
19,7,1,14
19,7,2,0
19,7,2,1
19,7,2,3
19,7,2,6
11,2,0,0
11,2,0,1
11,2,0,3
11,2,0,6
11,2,0,8
11,2,0,14
11,2,1,0
11,2,1,1
11,1,4,8
11,1,4,14
11,1,5,0
11,1,5,1
11,1,5,3
11,1,5,6
11,1,5,8
11,1,5,14
11,1,3,3
11,1,3,6
11,1,3,8
11,1,3,14
11,1,4,0
11,1,4,1
11,1,4,3
11,1,4,6
11,1,2,0
11,1,2,1
11,1,2,3
11,1,2,6
11,1,2,8
11,1,2,14
11,1,3,0
11,1,3,1
11,2,5,3
11,2,5,6
11,2,5,8
11,2,5,14
11,6,0,0
11,6,0,1
11,6,0,3
11,6,0,6
11,2,4,0
11,2,4,1
11,2,4,3
11,2,4,6
11,2,4,8
11,2,4,14
11,2,5,0
11,2,5,1
11,2,2,8
11,2,2,14
11,2,3,0
11,2,3,1
11,2,3,3
11,2,3,6
11,2,3,8
11,2,3,14
11,2,1,3
11,2,1,6
11,2,1,8
11,2,1,14
11,2,2,0
11,2,2,1
11,2,2,3
11,2,2,6
11,6,4,8
11,6,4,14
11,6,5,0
11,6,5,1
11,6,5,3
11,6,5,6
11,6,5,8
11,6,5,14
11,6,3,3
11,6,3,6
11,6,3,8
11,6,3,14
11,6,4,0
11,6,4,1
