p0,p1,p2,p3
19,14,0,14
3,0,0,0
3,0,0,1
3,0,0,3
3,0,0,6
3,0,0,8
3,0,0,14
3,1,0,0
3,1,0,1
3,1,0,3
3,1,0,6
3,1,0,8
3,1,0,14
3,3,0,0
3,3,0,1
3,3,0,3
3,3,0,6
3,3,0,8
3,3,0,14
3,6,0,0
3,6,0,1
3,6,0,3
3,6,0,6
3,6,0,8
18,14,0,3
18,14,0,6
18,14,0,8
18,14,0,14
19,0,0,0
19,0,0,1
19,0,0,3
19,0,0,6
18,8,0,0
18,8,0,1
18,8,0,3
18,8,0,6
18,8,0,8
18,8,0,14
18,14,0,0
18,14,0,1
18,3,0,8
18,3,0,14
18,6,0,0
18,6,0,1
18,6,0,3
18,6,0,6
18,6,0,8
18,6,0,14
18,1,0,3
18,1,0,6
18,1,0,8
18,1,0,14
18,3,0,0
18,3,0,1
18,3,0,3
18,3,0,6
5,1,0,3
5,1,0,6
5,1,0,8
5,1,0,14
5,3,0,0
5,3,0,1
5,3,0,3
5,3,0,6
5,0,0,0
5,0,0,1
5,0,0,3
5,0,0,6
5,0,0,8
5,0,0,14
5,1,0,0
5,1,0,1
4,8,0,8
4,8,0,14
4,14,0,0
4,14,0,1
4,14,0,3
4,14,0,6
4,14,0,8
4,14,0,14
4,6,0,3
4,6,0,6
4,6,0,8
4,6,0,14
4,8,0,0
4,8,0,1
4,8,0,3
4,8,0,6
8,0,0,8
8,0,0,14
8,1,0,0
8,1,0,1
8,1,0,3
8,1,0,6
8,1,0,8
8,1,0,14
5,14,0,3
5,14,0,6
5,14,0,8
5,14,0,14
8,0,0,0
8,0,0,1
8,0,0,3
8,0,0,6
5,8,0,0
5,8,0,1
5,8,0,3
5,8,0,6
5,8,0,8
5,8,0,14
5,14,0,0
5,14,0,1
5,3,0,8
5,3,0,14
5,6,0,0
5,6,0,1
5,6,0,3
5,6,0,6
5,6,0,8
5,6,0,14
9,0,0,0
9,0,0,1
9,0,0,3
9,0,0,6
9,0,0,8
9,0,0,14
9,1,0,0
9,1,0,1
8,8,0,8
8,8,0,14
8,14,0,0
8,14,0,1
8,14,0,3
8,14,0,6
8,14,0,8
8,14,0,14
8,6,0,3
8,6,0,6
8,6,0,8
8,6,0,14
8,8,0,0
8,8,0,1
8,8,0,3
8,8,0,6
8,3,0,0
8,3,0,1
8,3,0,3
8,3,0,6
8,3,0,8
8,3,0,14
8,6,0,0
8,6,0,1
9,14,0,3
9,14,0,6
9,14,0,8
9,14,0,14
10,0,0,0
10,0,0,1
10,0,0,3
10,0,0,6
9,8,0,0
9,8,0,1
9,8,0,3
9,8,0,6
9,8,0,8
9,8,0,14
9,14,0,0
9,14,0,1
9,3,0,8
9,3,0,14
9,6,0,0
9,6,0,1
9,6,0,3
9,6,0,6
9,6,0,8
9,6,0,14
9,1,0,3
9,1,0,6
9,1,0,8
9,1,0,14
9,3,0,0
9,3,0,1
9,3,0,3
9,3,0,6
10,8,0,8
10,8,0,14
10,14,0,0
10,14,0,1
10,14,0,3
10,14,0,6
10,14,0,8
10,14,0,14
10,6,0,3
10,6,0,6
10,6,0,8
10,6,0,14
10,8,0,0
10,8,0,1
10,8,0,3
10,8,0,6
10,3,0,0
10,3,0,1
10,3,0,3
10,3,0,6
10,3,0,8
10,3,0,14
10,6,0,0
10,6,0,1
10,0,0,8
10,0,0,14
10,1,0,0
10,1,0,1
10,1,0,3
10,1,0,6
10,1,0,8
10,1,0,14
12,8,0,0
12,8,0,1
12,8,0,3
12,8,0,6
12,8,0,8
12,8,0,14
12,14,0,0
12,14,0,1
12,3,0,8
12,3,0,14
12,6,0,0
12,6,0,1
12,6,0,3
12,6,0,6
12,6,0,8
12,6,0,14
12,1,0,3
12,1,0,6
12,1,0,8
12,1,0,14
12,3,0,0
12,3,0,1
12,3,0,3
12,3,0,6
12,0,0,0
12,0,0,1
12,0,0,3
12,0,0,6
12,0,0,8
12,0,0,14
12,1,0,0
12,1,0,1
13,6,0,3
13,6,0,6
13,6,0,8
13,6,0,14
13,8,0,0
13,8,0,1
13,8,0,3
13,8,0,6
13,3,0,0
13,3,0,1
13,3,0,3
13,3,0,6
13,3,0,8
13,3,0,14
13,6,0,0
13,6,0,1
13,0,0,8
13,0,0,14
13,1,0,0
13,1,0,1
13,1,0,3
13,1,0,6
13,1,0,8
13,1,0,14
12,14,0,3
12,14,0,6
12,14,0,8
12,14,0,14
13,0,0,0
13,0,0,1
13,0,0,3
13,0,0,6
14,3,0,8
14,3,0,14
14,6,0,0
14,6,0,1
14,6,0,3
14,6,0,6
14,6,0,8
14,6,0,14
14,1,0,3
14,1,0,6
14,1,0,8
14,1,0,14
14,3,0,0
14,3,0,1
14,3,0,3
14,3,0,6
14,0,0,0
14,0,0,1
14,0,0,3
14,0,0,6
14,0,0,8
14,0,0,14
14,1,0,0
14,1,0,1
13,8,0,8
13,8,0,14
13,14,0,0
13,14,0,1
13,14,0,3
13,14,0,6
13,14,0,8
13,14,0,14
15,3,0,0
15,3,0,1
15,3,0,3
15,3,0,6
15,3,0,8
15,3,0,14
15,6,0,0
15,6,0,1
15,0,0,8
15,0,0,14
15,1,0,0
15,1,0,1
15,1,0,3
15,1,0,6
15,1,0,8
15,1,0,14
14,14,0,3
14,14,0,6
14,14,0,8
14,14,0,14
15,0,0,0
15,0,0,1
15,0,0,3
15,0,0,6
14,8,0,0
14,8,0,1
14,8,0,3
14,8,0,6
