p0,p1,p2,p3
9,4,3,1
7,7,8,0
7,7,8,1
8,2,4,2
8,2,4,1
8,2,4,0
7,7,8,2
6,9,12,0
6,9,12,1
6,9,12,2
8,4,12,2
9,15,12,0
8,4,12,0
9,4,3,0
9,15,4,2
9,15,4,1
9,15,4,0
6,2,3,2
9,9,3,0
9,9,3,1
9,9,3,2
8,7,8,2
8,7,8,1
8,4,12,1
10,2,8,2
6,15,12,2
6,15,12,1
6,15,12,0
10,9,3,2
10,9,3,1
10,9,3,0
10,2,3,0
10,4,9,0
9,2,12,2
8,15,8,2
10,15,4,2
8,7,9,2
8,7,9,1
8,7,9,0
8,15,8,0
9,2,12,1
9,2,12,0
9,4,3,2
10,2,9,0
10,2,9,1
10,2,9,2
10,15,4,0
10,15,4,1
8,15,8,1
7,15,8,0
7,15,8,1
7,15,8,2
7,7,9,0
7,7,9,1
8,9,3,0
8,9,3,1
8,9,3,2
9,7,8,2
7,7,9,2
9,7,8,1
8,7,8,0
7,2,9,2
7,2,9,1
6,7,3,0
6,7,3,1
6,7,3,2
7,15,3,0
7,9,12,1
7,9,12,0
7,2,9,0
7,15,9,0
7,15,9,1
7,15,9,2
9,7,8,0
7,7,3,2
8,2,3,2
8,2,3,1
8,2,3,0
6,2,3,1
6,2,3,0
7,7,3,1
7,7,3,0
9,4,9,2
9,7,9,2
9,7,9,1
6,9,4,0
9,4,9,1
9,9,4,0
9,9,4,1
9,4,9,0
6,9,4,2
6,9,4,1
9,15,3,2
9,15,3,1
9,9,4,2
9,15,3,0
10,4,9,1
10,4,9,2
9,7,9,0
9,7,12,1
9,7,12,0
10,2,4,0
7,9,3,1
7,15,4,0
7,15,4,1
7,15,4,2
9,15,9,2
8,2,12,0
9,4,12,0
8,7,12,2
10,2,8,1
8,7,12,0
9,4,12,1
6,9,8,0
8,2,9,2
8,2,9,1
8,2,9,0
6,9,8,1
6,9,8,2
9,4,12,2
8,2,12,1
7,9,3,2
8,7,12,1
7,15,3,1
7,15,3,2
10,7,12,0
10,7,12,1
10,7,12,2
7,2,12,0
7,2,12,1
7,2,12,2
9,2,3,2
9,2,3,1
9,2,3,0
9,7,12,2
7,2,4,0
9,2,4,0
9,2,4,1
9,2,4,2
7,9,3,0
7,2,3,2
