p0,p1,p2,p3
8,18,3,6
13,18,1,6
13,18,1,1
13,18,1,0
13,18,0,6
13,18,0,1
13,18,0,0
12,13,0,0
12,13,0,1
12,13,0,6
12,13,1,0
12,13,1,1
6,13,1,1
10,18,3,6
10,18,3,1
10,18,3,0
9,13,0,0
9,13,0,1
9,13,0,6
12,13,3,0
12,13,3,1
10,18,1,6
9,13,1,0
9,13,1,1
12,13,3,6
9,13,1,6
12,13,1,6
7,16,0,1
8,18,1,0
7,16,0,6
10,5,0,1
10,5,0,0
12,5,1,6
8,18,1,1
12,5,1,1
12,5,1,0
7,16,1,0
7,16,1,1
6,16,0,6
8,18,3,1
7,16,1,6
8,18,1,6
12,5,0,1
12,5,0,0
6,16,0,1
6,16,0,0
13,18,3,6
7,16,3,0
7,16,3,1
13,18,3,1
13,18,3,0
7,16,3,6
8,18,3,0
12,5,0,6
7,18,3,1
8,10,1,1
11,10,3,6
8,10,1,0
7,18,3,6
8,10,0,6
8,10,0,1
8,10,0,0
9,5,1,6
9,5,1,1
9,5,1,0
6,13,3,6
10,18,1,1
6,13,3,0
9,5,0,6
13,16,3,6
9,5,0,1
6,5,0,0
6,5,0,1
9,5,0,0
13,16,3,1
6,5,0,6
13,16,3,0
6,13,1,6
6,5,1,0
6,5,1,1
6,13,3,1
10,18,1,0
7,18,0,0
7,18,0,1
9,5,3,6
7,18,0,6
8,10,3,1
11,10,0,0
11,10,0,1
8,10,3,0
10,18,0,6
11,10,0,6
7,18,1,0
7,18,1,1
11,10,3,1
11,10,1,0
11,10,1,1
7,18,1,6
10,18,0,1
11,10,1,6
9,13,3,0
9,13,3,1
10,18,0,0
9,5,3,0
9,13,3,6
8,10,1,6
7,18,3,0
11,10,3,0
9,5,3,1
12,10,3,1
7,13,1,6
6,18,0,1
6,18,0,0
12,10,3,6
7,13,3,0
7,13,3,1
7,13,3,6
9,10,0,0
9,10,0,1
9,10,0,6
9,10,1,0
7,16,0,0
9,10,1,6
11,5,0,0
11,5,0,1
11,5,0,6
10,10,0,0
10,10,0,1
11,5,1,0
11,5,1,1
13,5,0,0
11,5,1,6
13,5,0,1
10,10,0,6
9,10,3,0
9,10,1,1
8,16,1,6
8,16,1,1
8,16,1,0
8,16,0,6
8,16,0,1
8,16,0,0
12,10,0,0
