p0,p1,p2,p3
19,14,5,13
14,0,0,0
14,0,0,1
14,0,0,2
14,0,0,3
14,0,0,4
14,0,0,5
14,0,0,6
14,0,0,7
14,0,0,8
14,0,0,9
14,0,0,10
14,0,0,11
14,0,0,12
14,0,0,13
14,0,1,0
19,14,3,2
19,14,3,3
19,14,3,4
19,14,3,5
19,14,3,6
19,14,3,7
19,14,3,8
19,14,3,9
19,14,2,8
19,14,2,9
19,14,2,10
19,14,2,11
19,14,2,12
19,14,2,13
19,14,3,0
19,14,3,1
19,14,2,0
19,14,2,1
19,14,2,2
19,14,2,3
19,14,2,4
19,14,2,5
19,14,2,6
19,14,2,7
19,14,1,6
19,14,1,7
19,14,1,8
19,14,1,9
19,14,1,10
19,14,1,11
19,14,1,12
19,14,1,13
14,0,5,2
14,0,5,3
14,0,5,4
14,0,5,5
14,0,5,6
14,0,5,7
14,0,5,8
14,0,5,9
14,0,4,8
14,0,4,9
14,0,4,10
14,0,4,11
14,0,4,12
14,0,4,13
14,0,5,0
14,0,5,1
14,0,4,0
14,0,4,1
14,0,4,2
14,0,4,3
14,0,4,4
14,0,4,5
14,0,4,6
14,0,4,7
14,0,3,6
14,0,3,7
14,0,3,8
14,0,3,9
14,0,3,10
14,0,3,11
14,0,3,12
14,0,3,13
14,1,1,6
14,1,1,7
14,1,1,8
14,1,1,9
14,1,1,10
14,1,1,11
14,1,1,12
14,1,1,13
14,1,0,12
14,1,0,13
14,1,1,0
14,1,1,1
14,1,1,2
14,1,1,3
14,1,1,4
14,1,1,5
14,1,0,4
14,1,0,5
14,1,0,6
14,1,0,7
14,1,0,8
14,1,0,9
14,1,0,10
14,1,0,11
14,0,5,10
14,0,5,11
14,0,5,12
14,0,5,13
14,1,0,0
14,1,0,1
14,1,0,2
14,1,0,3
14,1,3,10
14,1,3,11
14,1,3,12
14,1,3,13
14,1,4,0
14,1,4,1
14,1,4,2
14,1,4,3
14,1,3,2
14,1,3,3
14,1,3,4
14,1,3,5
14,1,3,6
14,1,3,7
14,1,3,8
14,1,3,9
14,1,2,8
14,1,2,9
14,1,2,10
14,1,2,11
14,1,2,12
14,1,2,13
14,1,3,0
14,1,3,1
14,1,2,0
14,1,2,1
14,1,2,2
14,1,2,3
14,1,2,4
14,1,2,5
14,1,2,6
14,1,2,7
14,3,0,0
14,3,0,1
14,3,0,2
14,3,0,3
14,3,0,4
14,3,0,5
14,3,0,6
14,3,0,7
14,1,5,6
14,1,5,7
14,1,5,8
14,1,5,9
14,1,5,10
14,1,5,11
14,1,5,12
14,1,5,13
14,1,4,12
14,1,4,13
14,1,5,0
14,1,5,1
14,1,5,2
14,1,5,3
14,1,5,4
14,1,5,5
14,1,4,4
14,1,4,5
14,1,4,6
14,1,4,7
14,1,4,8
14,1,4,9
14,1,4,10
14,1,4,11
14,3,2,4
14,3,2,5
14,3,2,6
14,3,2,7
14,3,2,8
14,3,2,9
14,3,2,10
14,3,2,11
14,3,1,10
14,3,1,11
14,3,1,12
