p0,p1,p2,p3
8,7,0,0
10,5,11,0
12,4,7,0
13,15,1,0
12,9,1,0
9,4,7,0
11,5,11,0
11,9,2,0
10,4,11,0
10,5,1,0
7,7,6,0
8,5,6,0
13,10,1,0
8,16,6,0
6,16,2,0
13,4,2,0
10,9,1,0
11,15,2,0
7,5,1,0
6,9,2,0
9,15,11,0
12,5,1,0
10,15,11,0
12,7,0,0
13,2,1,0
9,15,6,0
12,9,0,0
6,9,7,0
8,9,11,0
10,10,7,0
10,16,0,0
11,4,11,0
11,15,7,0
8,9,6,0
8,7,1,0
11,15,6,0
7,10,0,0
9,5,11,0
12,15,2,0
11,9,1,0
12,16,0,0
6,2,11,0
13,4,1,0
13,10,2,0
9,15,7,0
6,9,6,0
7,5,2,0
8,15,7,0
9,16,0,0
9,7,2,0
10,15,7,0
8,10,11,0
12,9,6,0
13,9,11,0
6,9,0,0
10,4,0,0
6,4,0,0
8,5,7,0
10,10,6,0
9,10,11,0
11,9,11,0
13,4,7,0
9,10,7,0
9,4,2,0
11,2,7,0
6,16,1,0
9,16,1,0
8,10,0,0
13,15,6,0
6,10,7,0
6,10,6,0
7,10,2,0
7,10,1,0
11,9,6,0
12,9,2,0
8,15,6,0
13,10,0,0
11,2,11,0
9,4,6,0
11,15,1,0
12,5,6,0
13,15,2,0
9,9,0,0
12,16,1,0
6,9,1,0
7,15,11,0
7,5,0,0
13,4,6,0
8,5,11,0
11,9,7,0
12,4,6,0
8,16,1,0
7,16,2,0
7,2,7,0
11,15,0,0
11,16,11,0
10,16,6,0
9,5,1,0
6,2,1,0
10,16,7,0
8,16,2,0
12,7,11,0
12,5,2,0
9,7,11,0
11,7,7,0
7,16,1,0
9,5,7,0
11,9,0,0
11,16,2,0
6,10,1,0
7,5,11,0
11,4,1,0
9,15,0,0
13,2,11,0
10,9,6,0
10,2,1,0
11,7,2,0
6,2,2,0
8,7,11,0
8,9,7,0
13,2,6,0
7,7,1,0
12,7,7,0
11,16,7,0
12,15,7,0
8,9,0,0
7,16,11,0
6,16,11,0
6,2,0,0
7,9,2,0
10,2,11,0
10,2,2,0
11,4,2,0
11,4,7,0
10,5,2,0
8,16,0,0
10,10,11,0
11,7,6,0
13,2,7,0
11,16,6,0
12,5,0,0
6,10,2,0
7,9,7,0
12,7,2,0
12,4,11,0
9,15,2,0
10,5,0,0
8,7,6,0
10,16,1,0
6,9,11,0
13,10,7,0
7,16,0,0
10,5,7,0
8,9,1,0
7,9,6,0
13,2,0,0
6,16,6,0
7,5,6,0
11,15,11,0
6,2,7,0
9,4,11,0
7,16,7,0
13,15,0,0
10,9,2,0
8,7,2,0
