p0,p1,p2,p3
13,2,3,0
10,15,0,6
8,10,1,6
10,15,1,0
10,15,1,1
10,15,1,6
13,2,1,6
13,2,1,1
13,2,1,0
8,10,3,0
9,15,1,6
10,15,3,1
8,10,3,1
10,15,3,6
13,2,0,6
8,10,3,6
9,9,3,6
13,2,0,1
13,2,0,0
9,9,3,1
9,9,3,0
12,7,0,0
10,15,3,0
7,16,1,6
7,16,1,1
7,16,1,0
9,10,3,6
9,10,3,0
7,16,0,6
7,16,0,1
7,16,0,0
8,10,0,0
8,10,0,1
13,2,3,1
8,10,0,6
9,10,1,1
9,10,1,0
8,10,1,0
9,10,0,6
13,2,3,6
8,10,1,1
9,10,0,1
9,10,0,0
10,15,0,0
10,15,0,1
9,10,1,6
12,7,3,0
12,7,3,1
7,15,0,1
7,15,0,0
12,7,3,6
10,16,3,0
10,16,3,1
10,16,3,6
7,2,0,0
7,2,0,1
12,7,0,1
9,7,3,6
9,7,3,1
9,7,3,0
7,2,1,0
7,2,1,1
7,2,1,6
11,10,3,6
9,7,1,6
9,7,1,1
9,7,1,0
11,10,3,1
7,2,0,6
9,9,1,6
12,7,0,6
9,9,1,1
9,9,1,0
7,15,3,6
7,15,3,1
9,9,0,6
7,15,3,0
9,9,0,1
9,9,0,0
7,15,0,6
12,7,1,1
12,7,1,6
7,15,1,6
10,16,0,0
10,16,0,1
10,16,0,6
7,15,1,1
7,15,1,0
10,16,1,0
10,16,1,1
10,16,1,6
12,7,1,0
8,7,3,6
10,10,3,0
10,10,3,1
13,5,3,1
13,5,3,0
10,10,3,6
13,5,1,6
13,5,1,1
13,5,1,0
13,5,0,6
7,16,3,0
13,5,0,0
6,16,0,0
6,16,0,1
6,16,0,6
11,15,3,6
11,15,3,1
6,16,1,0
6,2,3,6
6,16,1,1
11,15,3,0
6,2,3,1
13,5,0,1
10,10,0,0
10,10,0,1
9,15,1,1
9,15,1,0
13,16,3,0
10,10,0,6
13,16,3,1
9,15,0,6
12,4,3,0
9,15,0,1
13,5,3,6
13,16,3,6
10,10,1,0
10,10,1,1
6,15,3,0
6,15,3,1
10,10,1,6
12,4,3,1
6,15,3,6
8,7,3,0
8,7,3,1
12,4,3,6
9,15,0,0
13,4,3,0
12,5,1,6
13,4,1,6
13,4,1,1
13,4,1,0
12,5,3,0
12,5,3,1
8,9,0,0
13,4,0,6
8,9,0,1
6,2,3,0
13,4,0,0
12,5,3,6
8,9,0,6
8,9,1,0
