p0,p1,p2,p3
19,14,11,14
5,0,0,0
5,0,0,1
5,0,0,3
5,0,0,6
5,0,0,8
5,0,0,14
5,0,1,0
5,0,1,1
5,0,1,3
5,0,1,6
5,0,1,8
5,0,1,14
5,0,2,0
5,0,2,1
5,0,2,3
19,8,11,3
19,8,11,6
19,8,11,8
19,8,11,14
19,14,0,0
19,14,0,1
19,14,0,3
19,14,0,6
19,8,7,0
19,8,7,1
19,8,7,3
19,8,7,6
19,8,7,8
19,8,7,14
19,8,11,0
19,8,11,1
19,8,2,8
19,8,2,14
19,8,6,0
19,8,6,1
19,8,6,3
19,8,6,6
19,8,6,8
19,8,6,14
19,8,1,3
19,8,1,6
19,8,1,8
19,8,1,14
19,8,2,0
19,8,2,1
19,8,2,3
19,8,2,6
5,3,0,0
5,3,0,1
5,3,0,3
5,3,0,6
5,3,0,8
5,3,0,14
5,3,1,0
5,3,1,1
5,1,7,8
5,1,7,14
5,1,11,0
5,1,11,1
5,1,11,3
5,1,11,6
5,1,11,8
5,1,11,14
5,1,6,3
5,1,6,6
5,1,6,8
5,1,6,14
5,1,7,0
5,1,7,1
5,1,7,3
5,1,7,6
5,1,2,0
5,1,2,1
5,1,2,3
5,1,2,6
5,1,2,8
5,1,2,14
5,1,6,0
5,1,6,1
5,3,11,3
5,3,11,6
5,3,11,8
5,3,11,14
5,6,0,0
5,6,0,1
5,6,0,3
5,6,0,6
5,3,7,0
5,3,7,1
5,3,7,3
5,3,7,6
5,3,7,8
5,3,7,14
5,3,11,0
5,3,11,1
5,3,2,8
5,3,2,14
5,3,6,0
5,3,6,1
5,3,6,3
5,3,6,6
5,3,6,8
5,3,6,14
5,3,1,3
5,3,1,6
5,3,1,8
5,3,1,14
5,3,2,0
5,3,2,1
5,3,2,3
5,3,2,6
5,6,7,8
5,6,7,14
5,6,11,0
5,6,11,1
5,6,11,3
5,6,11,6
5,6,11,8
5,6,11,14
5,6,6,3
5,6,6,6
5,6,6,8
5,6,6,14
5,6,7,0
5,6,7,1
5,6,7,3
5,6,7,6
5,6,2,0
5,6,2,1
5,6,2,3
5,6,2,6
5,6,2,8
5,6,2,14
5,6,6,0
5,6,6,1
5,6,0,8
5,6,0,14
5,6,1,0
5,6,1,1
5,6,1,3
5,6,1,6
5,6,1,8
5,6,1,14
5,8,7,0
5,8,7,1
5,8,7,3
5,8,7,6
5,8,7,8
5,8,7,14
5,8,11,0
5,8,11,1
5,8,2,8
5,8,2,14
5,8,6,0
5,8,6,1
5,8,6,3
5,8,6,6
5,8,6,8
5,8,6,14
5,8,1,3
5,8,1,6
5,8,1,8
5,8,1,14
5,8,2,0
5,8,2,1
5,8,2,3
5,8,2,6
5,8,0,0
5,8,0,1
5,8,0,3
5,8,0,6
5,8,0,8
5,8,0,14
5,8,1,0
5,8,1,1
5,14,6,3
5,14,6,6
5,14,6,8
5,14,6,14
5,14,7,0
5,14,7,1
5,14,7,3
5,14,7,6
5,14,2,0
5,14,2,1
5,14,2,3
5,14,2,6
5,14,2,8
5,14,2,14
5,14,6,0
5,14,6,1
5,14,0,8
5,14,0,14
5,14,1,0
5,14,1,1
5,14,1,3
5,14,1,6
5,14,1,8
5,14,1,14
5,8,11,3
5,8,11,6
5,8,11,8
5,8,11,14
5,14,0,0
5,14,0,1
5,14,0,3
5,14,0,6
10,0,2,8
10,0,2,14
10,0,6,0
10,0,6,1
10,0,6,3
10,0,6,6
10,0,6,8
10,0,6,14
10,0,1,3
10,0,1,6
10,0,1,8
10,0,1,14
10,0,2,0
10,0,2,1
10,0,2,3
10,0,2,6
10,0,0,0
10,0,0,1
10,0,0,3
10,0,0,6
10,0,0,8
10,0,0,14
10,0,1,0
10,0,1,1
5,14,7,8
5,14,7,14
5,14,11,0
5,14,11,1
5,14,11,3
5,14,11,6
5,14,11,8
5,14,11,14
10,1,2,0
10,1,2,1
10,1,2,3
10,1,2,6
10,1,2,8
10,1,2,14
10,1,6,0
10,1,6,1
10,1,0,8
10,1,0,14
10,1,1,0
10,1,1,1
10,1,1,3
10,1,1,6
10,1,1,8
10,1,1,14
10,0,11,3
10,0,11,6
10,0,11,8
