f0,f1,f2,f3,n_params
6,5,3,0,1125
6,5,3,1,375
6,5,3,2,375
6,5,3,3,125
6,5,3,4,375
6,5,3,5,125
6,5,3,6,125
6,5,3,7,250
6,5,7,0,450
6,5,7,1,150
6,5,7,2,150
6,5,7,3,50
6,5,7,4,150
6,5,7,5,50
6,5,7,6,50
6,5,7,7,100
6,7,3,0,450
6,7,3,1,150
6,7,3,2,150
6,7,3,3,50
6,7,3,4,150
6,7,3,5,50
6,7,3,6,50
6,7,3,7,100
6,7,7,0,180
6,7,7,1,60
6,7,7,2,60
6,7,7,3,20
6,7,7,4,60
6,7,7,5,20
6,7,7,6,20
6,7,7,7,40
7,5,3,0,450
7,5,3,1,150
7,5,3,2,150
7,5,3,3,50
7,5,3,4,150
7,5,3,5,50
7,5,3,6,50
7,5,3,7,100
7,5,7,0,180
7,5,7,1,60
7,5,7,2,60
7,5,7,3,20
7,5,7,4,60
7,5,7,5,20
7,5,7,6,20
7,5,7,7,40
7,7,3,0,180
7,7,3,1,60
7,7,3,2,60
7,7,3,3,20
7,7,3,4,60
7,7,3,5,20
7,7,3,6,20
7,7,3,7,40
7,7,7,0,72
7,7,7,1,24
7,7,7,2,24
7,7,7,3,8
7,7,7,4,24
7,7,7,5,8
7,7,7,6,8
7,7,7,7,16
