f0,f1,f2,Freq
3,1,2,125
2,1,2,75
3,3,2,75
1,1,2,75
3,1,3,75
3,1,0,75
3,0,2,75
3,3,3,45
1,3,2,45
1,1,0,45
1,0,2,45
2,0,2,45
2,1,0,45
1,1,3,45
2,1,3,45
2,3,2,45
3,0,0,45
3,0,3,45
3,3,0,45
1,3,0,27
2,0,3,27
2,3,3,27
1,3,3,27
2,3,0,27
2,0,0,27
1,0,0,27
1,0,3,27
0,1,2,25
3,1,1,25
3,2,2,25
0,1,0,15
3,0,1,15
2,2,2,15
0,1,3,15
0,3,2,15
2,1,1,15
1,2,2,15
3,2,0,15
3,2,3,15
1,1,1,15
3,3,1,15
0,0,2,15
2,3,1,9
0,0,3,9
0,3,0,9
0,0,0,9
0,3,3,9
2,0,1,9
1,2,3,9
2,2,3,9
1,2,0,9
1,3,1,9
2,2,0,9
1,0,1,9
0,1,1,5
0,2,2,5
3,2,1,5
0,0,1,3
0,2,3,3
0,3,1,3
2,2,1,3
0,2,0,3
1,2,1,3
0,2,1,1
