f0,f1,f2,f3,X0,X1,X2,X3,Sum
6,1,3,4,70756,36,7056,7056,84904
5,3,2,4,70756,7056,36,7056,84904
3,0,4,7,7056,70756,7056,36,84904
1,6,5,7,36,70756,7056,7056,84904
2,0,7,5,7056,7056,70756,36,84904
5,3,4,7,7056,70756,36,7056,84904
7,3,2,6,70756,7056,36,7056,84904
0,7,1,3,36,7056,7056,70756,84904
3,0,2,4,70756,7056,7056,36,84904
7,1,3,0,70756,36,7056,7056,84904
6,4,7,0,7056,36,70756,7056,84904
0,6,4,7,36,70756,7056,7056,84904
4,6,5,2,36,7056,7056,70756,84904
1,0,4,5,7056,70756,7056,36,84904
1,3,0,7,7056,70756,36,7056,84904
2,5,7,0,7056,36,70756,7056,84904
1,3,4,6,7056,70756,36,7056,84904
7,3,0,4,70756,7056,36,7056,84904
0,6,1,2,36,7056,7056,70756,84904
4,7,0,6,7056,7056,36,70756,84904
2,0,6,1,7056,7056,70756,36,84904
3,0,7,1,7056,7056,70756,36,84904
1,0,6,7,7056,70756,7056,36,84904
4,7,3,0,7056,36,7056,70756,84904
4,3,1,6,7056,7056,36,70756,84904
6,5,7,1,7056,36,70756,7056,84904
4,7,5,3,36,7056,7056,70756,84904
7,5,2,0,70756,36,7056,7056,84904
3,4,6,1,7056,7056,70756,36,84904
7,0,2,5,70756,7056,7056,36,84904
0,6,7,1,36,7056,70756,7056,84904
6,5,2,4,70756,36,7056,7056,84904
4,3,0,2,7056,7056,36,70756,84904
1,6,4,3,36,70756,7056,7056,84904
6,4,3,1,7056,36,70756,7056,84904
2,6,5,1,36,7056,70756,7056,84904
2,5,3,1,7056,36,70756,7056,84904
7,5,3,4,70756,36,7056,7056,84904
0,4,7,3,36,7056,70756,7056,84904
0,2,5,7,36,70756,7056,7056,84904
2,6,7,3,36,7056,70756,7056,84904
3,1,6,4,70756,7056,7056,36,84904
6,1,2,0,70756,36,7056,7056,84904
3,2,4,5,7056,70756,7056,36,84904
4,5,1,0,7056,36,7056,70756,84904
1,2,5,3,36,70756,7056,7056,84904
4,5,3,2,7056,36,7056,70756,84904
0,2,4,3,36,70756,7056,7056,84904
1,2,6,5,7056,70756,7056,36,84904
6,7,1,0,7056,36,7056,70756,84904
0,7,5,2,36,7056,7056,70756,84904
6,5,3,3,2744,14,38416,38416,79590
6,0,3,0,38416,14,38416,2744,79590
6,3,3,0,38416,14,2744,38416,79590
5,5,3,0,38416,14,2744,38416,79590
6,6,3,0,2744,14,38416,38416,79590
0,6,3,3,14,2744,38416,38416,79590
0,5,3,0,2744,14,38416,38416,79590
0,3,5,3,14,38416,2744,38416,79590
0,0,6,5,2744,38416,38416,14,79590
3,6,5,3,14,38416,38416,2744,79590
6,5,3,5,38416,14,38416,2744,79590
5,0,0,6,38416,38416,14,2744,79590
3,6,6,5,2744,38416,38416,14,79590
0,5,5,3,14,2744,38416,38416,79590
0,6,5,5,14,38416,38416,2744,79590
5,3,0,5,38416,38416,14,2744,79590
6,5,6,0,38416,14,38416,2744,79590
5,3,0,3,2744,38416,14,38416,79590
3,0,3,5,38416,2744,38416,14,79590
5,3,0,0,38416,2744,14,38416,79590
6,3,0,6,38416,2744,14,38416,79590
3,0,6,0,38416,2744,38416,14,79590
0,6,6,3,14,38416,38416,2744,79590
0,3,0,6,2744,38416,14,38416,79590
0,6,0,3,14,38416,2744,38416,79590
5,3,5,6,2744,38416,14,38416,79590
3,0,5,5,2744,38416,38416,14,79590
5,0,6,5,38416,38416,2744,14,79590
3,3,0,6,38416,38416,14,2744,79590
6,6,5,3,14,2744,38416,38416,79590
0,6,5,0,14,2744,38416,38416,79590
0,6,5,6,14,38416,2744,38416,79590
6,5,5,0,2744,14,38416,38416,79590
3,5,6,5,38416,2744,38416,14,79590
3,5,3,0,38416,14,38416,2744,79590
5,6,0,6,2744,38416,14,38416,79590
3,0,6,3,2744,38416,38416,14,79590
5,3,6,6,38416,38416,14,2744,79590
5,6,5,3,14,38416,2744,38416,79590
5,3,3,6,38416,2744,14,38416,79590
5,5,0,6,38416,2744,14,38416,79590
6,5,3,6,38416,14,2744,38416,79590
3,0,0,5,38416,38416,2744,14,79590
3,3,6,5,38416,38416,2744,14,79590
0,0,5,3,14,38416,38416,2744,79590
6,0,6,5,38416,2744,38416,14,79590
6,5,0,0,38416,14,2744,38416,79590
3,0,6,6,38416,38416,2744,14,79590
4,6,3,2,504,504,7056,70756,78820
0,5,1,2,504,504,7056,70756,78820
1,6,4,5,504,70756,7056,504,78820
6,1,2,5,70756,504,7056,504,78820
1,6,0,7,504,70756,504,7056,78820
0,2,4,6,504,70756,504,7056,78820
1,3,6,7,7056,70756,504,504,78820
3,3,2,4,70756,7056,504,504,78820
3,2,4,6,7056,70756,504,504,78820
1,2,6,3,504,70756,7056,504,78820
6,4,7,3,504,504,70756,7056,78820
3,5,7,1,7056,504,70756,504,78820
3,4,7,0,7056,504,70756,504,78820
0,7,1,0,504,504,7056,70756,78820
4,6,1,6,504,7056,504,70756,78820
0,4,6,1,504,7056,70756,504,78820
5,7,5,2,504,7056,504,70756,78820
5,0,4,7,7056,70756,504,504,78820
7,3,3,4,70756,504,504,7056,78820
1,6,4,6,504,70756,504,7056,78820
0,4,7,0,504,504,70756,7056,78820
0,7,0,2,504,7056,504,70756,78820
0,4,7,5,504,7056,70756,504,78820
1,2,6,6,7056,70756,504,504,78820
5,0,2,4,70756,7056,504,504,78820
6,4,5,1,504,504,70756,7056,78820
7,0,2,0,70756,504,7056,504,78820
2,5,6,1,7056,504,70756,504,78820
4,3,3,2,7056,504,504,70756,78820
6,3,1,2,7056,504,504,70756,78820
1,3,4,3,504,70756,504,7056,78820
6,4,6,1,7056,504,70756,504,78820
2,5,5,1,504,504,70756,7056,78820
6,1,2,6,70756,504,504,7056,78820
0,5,7,1,504,504,70756,7056,78820
3,4,3,1,7056,504,70756,504,78820
6,1,6,4,70756,504,7056,504,78820
2,6,7,0,504,504,70756,7056,78820
1,0,5,7,504,70756,7056,504,78820
1,3,4,5,7056,70756,504,504,78820
2,5,7,5,7056,504,70756,504,78820
5,6,1,2,504,7056,504,70756,78820
4,7,0,3,504,7056,504,70756,78820
2,6,6,1,504,7056,70756,504,78820
6,0,2,4,70756,504,7056,504,78820
4,7,0,0,7056,504,504,70756,78820
4,7,3,3,504,504,7056,70756,78820
4,7,3,6,7056,504,504,70756,78820
7,0,3,4,70756,504,7056,504,78820
4,3,5,2,504,7056,504,70756,78820
3,3,4,7,7056,70756,504,504,78820
7,5,2,6,70756,504,504,7056,78820
7,5,2,5,70756,504,7056,504,78820
7,3,6,4,70756,7056,504,504,78820
6,3,2,4,70756,504,504,7056,78820
4,5,1,3,504,504,7056,70756,78820
7,1,6,0,70756,504,7056,504,78820
4,5,1,6,7056,504,504,70756,78820
7,0,2,6,70756,7056,504,504,78820
4,3,1,0,7056,504,504,70756,78820
6,0,7,1,7056,504,70756,504,78820
4,7,5,6,504,7056,504,70756,78820
4,3,1,3,504,7056,504,70756,78820
7,0,0,4,70756,7056,504,504,78820
0,0,4,7,504,70756,7056,504,78820
6,7,1,6,7056,504,504,70756,78820
4,7,5,0,504,504,7056,70756,78820
0,2,0,7,504,70756,504,7056,78820
0,0,7,1,504,7056,70756,504,78820
3,4,7,3,504,7056,70756,504,78820
3,1,2,6,70756,7056,504,504,78820
1,3,5,7,504,70756,504,7056,78820
7,1,3,6,70756,504,504,7056,78820
7,5,6,4,70756,504,7056,504,78820
1,2,0,5,7056,70756,504,504,78820
3,2,5,7,504,70756,7056,504,78820
0,7,3,2,504,504,7056,70756,78820
5,2,6,7,7056,70756,504,504,78820
1,2,0,3,504,70756,504,7056,78820
3,6,7,1,504,7056,70756,504,78820
5,2,4,5,7056,70756,504,504,78820
0,3,4,7,504,70756,504,7056,78820
1,0,4,3,504,70756,7056,504,78820
6,6,7,1,504,504,70756,7056,78820
5,2,5,7,504,70756,504,7056,78820
2,6,3,1,504,504,70756,7056,78820
4,6,0,2,504,7056,504,70756,78820
7,5,0,4,70756,504,504,7056,78820
5,7,1,0,7056,504,504,70756,78820
7,1,0,0,70756,504,504,7056,78820
6,4,7,5,7056,504,70756,504,78820
7,1,0,5,70756,7056,504,504,78820
3,6,4,7,504,70756,7056,504,78820
0,2,4,5,504,70756,7056,504,78820
7,3,2,0,70756,504,504,7056,78820
6,1,0,4,70756,504,504,7056,78820
6,7,0,2,7056,504,504,70756,78820
2,0,7,0,7056,504,70756,504,78820
1,6,6,7,504,70756,7056,504,78820
0,2,6,7,504,70756,7056,504,78820
5,6,4,7,504,70756,504,7056,78820
4,5,5,2,504,504,7056,70756,78820
3,5,2,4,70756,504,7056,504,78820
4,5,0,2,7056,504,504,70756,78820
2,6,7,5,504,7056,70756,504,78820
7,1,3,5,70756,504,7056,504,78820
3,1,3,4,70756,504,7056,504,78820
3,2,4,3,504,70756,7056,504,78820
0,3,1,2,504,7056,504,70756,78820
3,4,5,1,504,7056,70756,504,78820
5,5,1,2,7056,504,504,70756,78820
1,0,0,7,7056,70756,504,504,78820
5,7,3,2,7056,504,504,70756,78820
0,4,3,1,504,504,70756,7056,78820
6,6,1,2,504,504,7056,70756,78820
7,3,2,5,70756,7056,504,504,78820
0,7,1,6,504,7056,504,70756,78820
1,0,4,6,7056,70756,504,504,78820
2,4,6,3,504,7056,70756,504,78820
5,1,3,4,70756,504,504,7056,78820
7,1,6,6,70756,7056,504,504,78820
3,1,2,0,70756,504,7056,504,78820
2,5,7,3,504,504,70756,7056,78820
2,4,6,0,7056,504,70756,504,78820
4,6,1,0,504,504,7056,70756,78820
5,1,6,4,70756,7056,504,504,78820
3,1,0,4,70756,7056,504,504,78820
6,7,5,2,504,504,7056,70756,78820
2,4,5,5,504,7056,70756,504,78820
1,2,5,6,504,70756,504,7056,78820
1,2,5,5,504,70756,7056,504,78820
2,0,7,3,504,7056,70756,504,78820
5,2,4,3,504,70756,504,7056,78820
2,4,3,3,504,504,70756,7056,78820
2,4,3,5,7056,504,70756,504,78820
2,4,5,0,504,504,70756,7056,78820
6,7,1,3,504,504,7056,70756,78820
5,7,1,3,504,7056,504,70756,78820
5,1,2,0,70756,504,504,7056,78820
3,2,0,7,7056,70756,504,504,78820
5,1,2,5,70756,7056,504,504,78820
2,0,3,1,7056,504,70756,504,78820
5,5,2,4,70756,504,504,7056,78820
2,0,5,1,504,7056,70756,504,78820
5,6,5,6,196,38416,196,38416,77224
5,3,3,0,38416,196,196,38416,77224
6,0,3,5,38416,196,38416,196,77224
0,6,0,6,196,38416,196,38416,77224
5,3,6,5,38416,38416,196,196,77224
0,0,5,5,196,38416,38416,196,77224
5,6,0,3,196,38416,196,38416,77224
6,5,0,6,38416,196,196,38416,77224
3,0,5,3,196,38416,38416,196,77224
5,3,5,3,196,38416,196,38416,77224
3,0,3,0,38416,196,38416,196,77224
6,3,0,0,38416,196,196,38416,77224
3,5,3,5,38416,196,38416,196,77224
6,5,6,5,38416,196,38416,196,77224
3,3,6,6,38416,38416,196,196,77224
0,3,0,3,196,38416,196,38416,77224
0,3,5,6,196,38416,196,38416,77224
5,5,3,6,38416,196,196,38416,77224
0,5,3,3,196,196,38416,38416,77224
5,0,6,6,38416,38416,196,196,77224
5,0,0,5,38416,38416,196,196,77224
6,5,5,3,196,196,38416,38416,77224
6,6,5,0,196,196,38416,38416,77224
3,0,0,6,38416,38416,196,196,77224
3,5,6,0,38416,196,38416,196,77224
0,5,5,0,196,196,38416,38416,77224
5,5,0,0,38416,196,196,38416,77224
6,3,3,6,38416,196,196,38416,77224
3,6,6,3,196,38416,38416,196,77224
6,6,3,3,196,196,38416,38416,77224
3,6,5,5,196,38416,38416,196,77224
0,6,6,5,196,38416,38416,196,77224
0,0,6,3,196,38416,38416,196,77224
6,0,6,0,38416,196,38416,196,77224
0,6,3,0,196,196,38416,38416,77224
3,3,0,5,38416,38416,196,196,77224
6,5,1,6,16464,84,1176,52136,69860
6,0,6,1,16464,1176,52136,84,69860
6,5,1,3,1176,84,16464,52136,69860
4,5,0,6,16464,1176,84,52136,69860
7,3,0,0,52136,1176,84,16464,69860
4,5,0,0,16464,84,1176,52136,69860
1,6,5,6,84,52136,1176,16464,69860
1,0,0,5,16464,52136,1176,84,69860
1,0,0,6,16464,52136,84,1176,69860
1,6,5,5,84,52136,16464,1176,69860
2,6,6,5,1176,16464,52136,84,69860
0,0,4,3,84,52136,16464,1176,69860
0,0,4,5,1176,52136,16464,84,69860
1,3,5,3,84,52136,1176,16464,69860
3,4,5,3,84,16464,52136,1176,69860
3,4,5,5,1176,16464,52136,84,69860
0,0,5,1,84,16464,52136,1176,69860
6,5,2,5,52136,84,16464,1176,69860
2,6,6,3,84,16464,52136,1176,69860
6,5,2,6,52136,84,1176,16464,69860
6,7,3,6,16464,84,1176,52136,69860
6,3,0,2,16464,1176,84,52136,69860
6,5,7,5,16464,84,52136,1176,69860
4,3,5,6,1176,16464,84,52136,69860
4,3,5,3,84,16464,1176,52136,69860
3,6,4,5,1176,52136,16464,84,69860
6,1,3,5,52136,84,16464,1176,69860
3,6,5,1,84,16464,52136,1176,69860
3,6,5,7,84,52136,16464,1176,69860
3,6,6,1,1176,16464,52136,84,69860
3,6,6,7,1176,52136,16464,84,69860
3,6,7,3,84,16464,52136,1176,69860
3,6,7,5,1176,16464,52136,84,69860
3,0,4,3,1176,52136,16464,84,69860
