f0,f1,f2,f3,X0,X1,X2,X3,Sum
3,0,7,3,1176,16464,52136,84,69860
2,6,5,5,84,16464,52136,1176,69860
0,7,3,3,84,1176,16464,52136,69860
0,0,5,7,84,52136,16464,1176,69860
0,7,3,0,1176,84,16464,52136,69860
3,4,3,5,16464,1176,52136,84,69860
1,3,6,5,16464,52136,1176,84,69860
4,6,0,3,84,16464,1176,52136,69860
4,6,0,6,1176,16464,84,52136,69860
1,3,6,6,16464,52136,84,1176,69860
6,0,3,1,16464,84,52136,1176,69860
2,5,6,5,16464,1176,52136,84,69860
0,6,3,2,84,1176,16464,52136,69860
6,7,5,3,84,1176,16464,52136,69860
6,4,3,3,1176,84,52136,16464,69860
6,4,5,3,84,1176,52136,16464,69860
0,0,7,3,84,16464,52136,1176,69860
6,4,5,0,1176,84,52136,16464,69860
2,5,3,5,16464,84,52136,1176,69860
5,0,0,4,52136,16464,84,1176,69860
0,5,3,2,1176,84,16464,52136,69860
0,5,3,1,1176,84,52136,16464,69860
5,0,0,7,16464,52136,84,1176,69860
6,4,3,5,16464,84,52136,1176,69860
2,5,3,3,1176,84,52136,16464,69860
0,5,5,1,84,1176,52136,16464,69860
3,3,4,6,16464,52136,84,1176,69860
3,3,4,5,16464,52136,1176,84,69860
0,5,1,3,84,1176,16464,52136,69860
5,0,2,5,52136,16464,1176,84,69860
0,5,1,0,1176,84,16464,52136,69860
5,7,5,6,1176,16464,84,52136,69860
5,0,2,6,52136,16464,84,1176,69860
3,1,0,5,52136,16464,1176,84,69860
5,7,5,3,84,16464,1176,52136,69860
7,3,6,5,52136,16464,1176,84,69860
7,0,6,0,52136,1176,16464,84,69860
0,5,5,2,84,1176,16464,52136,69860
0,5,7,0,1176,84,52136,16464,69860
3,3,6,7,16464,52136,1176,84,69860
0,6,1,0,84,1176,16464,52136,69860
0,6,0,7,84,52136,1176,16464,69860
0,6,0,2,84,16464,1176,52136,69860
0,0,7,5,1176,16464,52136,84,69860
2,5,6,0,16464,84,52136,1176,69860
0,5,7,3,84,1176,52136,16464,69860
6,0,2,0,52136,84,16464,1176,69860
2,0,6,0,16464,1176,52136,84,69860
3,5,3,4,52136,84,16464,1176,69860
6,4,6,0,16464,84,52136,1176,69860
3,3,6,4,52136,16464,1176,84,69860
2,5,5,0,1176,84,52136,16464,69860
2,5,5,3,84,1176,52136,16464,69860
6,1,6,6,52136,1176,1176,1176,55664
3,1,3,6,52136,1176,1176,1176,55664
3,3,3,4,52136,1176,1176,1176,55664
3,3,4,3,1176,52136,1176,1176,55664
3,5,0,4,52136,1176,1176,1176,55664
7,3,6,0,52136,1176,1176,1176,55664
3,3,2,0,52136,1176,1176,1176,55664
3,2,0,3,1176,52136,1176,1176,55664
7,3,3,5,52136,1176,1176,1176,55664
3,4,5,0,1176,1176,52136,1176,55664
3,2,5,6,1176,52136,1176,1176,55664
3,3,5,7,1176,52136,1176,1176,55664
0,0,0,7,1176,52136,1176,1176,55664
1,3,6,3,1176,52136,1176,1176,55664
3,5,2,6,52136,1176,1176,1176,55664
6,7,5,6,1176,1176,1176,52136,55664
3,4,3,3,1176,1176,52136,1176,55664
7,0,0,0,52136,1176,1176,1176,55664
1,3,5,5,1176,52136,1176,1176,55664
3,1,0,0,52136,1176,1176,1176,55664
6,4,6,3,1176,1176,52136,1176,55664
4,5,5,6,1176,1176,1176,52136,55664
2,5,6,3,1176,1176,52136,1176,55664
3,5,5,1,1176,1176,52136,1176,55664
0,3,3,2,1176,1176,1176,52136,55664
7,5,6,6,52136,1176,1176,1176,55664
5,6,6,7,1176,52136,1176,1176,55664
0,0,7,0,1176,1176,52136,1176,55664
6,0,2,6,52136,1176,1176,1176,55664
0,3,1,0,1176,1176,1176,52136,55664
2,6,3,5,1176,1176,52136,1176,55664
0,2,6,6,1176,52136,1176,1176,55664
4,6,3,6,1176,1176,1176,52136,55664
0,7,0,0,1176,1176,1176,52136,55664
5,6,4,5,1176,52136,1176,1176,55664
5,6,3,2,1176,1176,1176,52136,55664
7,5,0,5,52136,1176,1176,1176,55664
4,6,0,0,1176,1176,1176,52136,55664
0,7,3,6,1176,1176,1176,52136,55664
0,5,7,5,1176,1176,52136,1176,55664
2,5,5,5,1176,1176,52136,1176,55664
0,5,6,1,1176,1176,52136,1176,55664
5,0,4,3,1176,52136,1176,1176,55664
0,4,3,5,1176,1176,52136,1176,55664
5,1,3,5,52136,1176,1176,1176,55664
5,1,6,0,52136,1176,1176,1176,55664
5,0,5,7,1176,52136,1176,1176,55664
0,4,6,0,1176,1176,52136,1176,55664
5,7,5,0,1176,1176,1176,52136,55664
0,3,6,7,1176,52136,1176,1176,55664
5,0,3,4,52136,1176,1176,1176,55664
6,4,5,5,1176,1176,52136,1176,55664
0,5,0,2,1176,1176,1176,52136,55664
5,2,5,5,1176,52136,1176,1176,55664
5,2,6,3,1176,52136,1176,1176,55664
0,5,1,6,1176,1176,1176,52136,55664
5,0,2,0,52136,1176,1176,1176,55664
0,3,4,5,1176,52136,1176,1176,55664
6,0,0,4,52136,1176,1176,1176,55664
2,0,5,0,1176,1176,52136,1176,55664
5,7,3,3,1176,1176,1176,52136,55664
0,2,0,5,1176,52136,1176,1176,55664
6,1,0,5,52136,1176,1176,1176,55664
6,3,2,5,52136,1176,1176,1176,55664
1,6,6,6,1176,52136,1176,1176,55664
5,5,5,2,1176,1176,1176,52136,55664
6,6,0,2,1176,1176,1176,52136,55664
6,6,1,6,1176,1176,1176,52136,55664
5,5,6,4,52136,1176,1176,1176,55664
6,6,6,1,1176,1176,52136,1176,55664
3,6,7,0,1176,1176,52136,1176,55664
6,3,1,3,1176,1176,1176,52136,55664
5,6,1,0,1176,1176,1176,52136,55664
0,0,3,1,1176,1176,52136,1176,55664
3,6,4,6,1176,52136,1176,1176,55664
3,6,0,7,1176,52136,1176,1176,55664
6,6,7,5,1176,1176,52136,1176,55664
3,6,3,1,1176,1176,52136,1176,55664
1,6,0,5,1176,52136,1176,1176,55664
6,7,0,3,1176,1176,1176,52136,55664
5,5,2,5,52136,1176,1176,1176,55664
2,0,3,3,1176,1176,52136,1176,55664
2,6,6,0,1176,1176,52136,1176,55664
4,5,0,3,1176,1176,1176,52136,55664
1,0,0,3,1176,52136,1176,1176,55664
6,0,5,1,1176,1176,52136,1176,55664
6,3,6,4,52136,1176,1176,1176,55664
6,3,5,2,1176,1176,1176,52136,55664
0,0,4,6,1176,52136,1176,1176,55664
4,3,5,0,1176,1176,1176,52136,55664
3,5,7,3,1176,1176,52136,1176,55664
1,0,5,6,1176,52136,1176,1176,55664
7,0,3,6,52136,1176,1176,1176,55664
4,3,3,3,1176,1176,1176,52136,55664
5,5,1,3,1176,1176,1176,52136,55664
6,0,7,3,1176,1176,52136,1176,55664
2,2,6,5,7056,22344,22344,36,51780
2,0,2,5,22344,7056,22344,36,51780
2,0,4,5,7056,22344,22344,36,51780
7,0,6,7,22344,22344,7056,36,51780
3,1,6,1,22344,7056,22344,36,51780
7,0,7,5,22344,7056,22344,36,51780
3,1,4,5,22344,22344,7056,36,51780
2,2,5,3,36,22344,22344,7056,51780
2,0,6,7,7056,22344,22344,36,51780
1,7,5,3,36,22344,7056,22344,51780
7,0,6,1,22344,7056,22344,36,51780
2,1,6,5,22344,7056,22344,36,51780
7,3,1,6,22344,7056,36,22344,51780
3,0,4,4,22344,22344,7056,36,51780
2,0,6,4,22344,7056,22344,36,51780
3,0,4,1,7056,22344,22344,36,51780
3,0,2,7,22344,22344,7056,36,51780
3,0,2,1,22344,7056,22344,36,51780
1,6,1,3,36,22344,7056,22344,51780
2,7,5,3,36,7056,22344,22344,51780
7,3,0,7,22344,22344,36,7056,51780
2,7,3,0,7056,36,22344,22344,51780
7,3,0,2,22344,7056,36,22344,51780
1,6,5,1,36,22344,22344,7056,51780
1,6,5,2,36,22344,7056,22344,51780
2,6,5,7,36,22344,22344,7056,51780
3,0,7,4,22344,7056,22344,36,51780
2,6,5,2,36,7056,22344,22344,51780
2,6,4,3,36,22344,22344,7056,51780
3,0,7,7,7056,22344,22344,36,51780
1,7,0,6,7056,22344,36,22344,51780
7,0,4,5,22344,22344,7056,36,51780
2,6,1,3,36,7056,22344,22344,51780
7,7,0,6,22344,7056,36,22344,51780
7,2,0,6,22344,22344,36,7056,51780
2,5,3,4,22344,36,22344,7056,51780
2,5,3,2,7056,36,22344,22344,51780
7,2,6,5,22344,22344,7056,36,51780
2,5,2,0,22344,36,22344,7056,51780
2,5,1,0,7056,36,22344,22344,51780
1,6,7,3,36,22344,22344,7056,51780
2,1,3,0,22344,36,22344,7056,51780
3,1,6,7,22344,22344,7056,36,51780
0,7,5,1,36,7056,22344,22344,51780
6,5,1,1,7056,36,22344,22344,51780
0,7,7,3,36,7056,22344,22344,51780
4,5,2,0,22344,36,7056,22344,51780
4,5,3,1,7056,36,22344,22344,51780
0,7,5,7,36,22344,7056,22344,51780
4,5,3,4,22344,36,7056,22344,51780
0,7,4,3,36,22344,7056,22344,51780
5,3,4,4,22344,22344,36,7056,51780
4,5,7,0,7056,36,22344,22344,51780
0,2,5,1,36,22344,22344,7056,51780
0,2,5,2,36,22344,7056,22344,51780
0,6,7,7,36,22344,22344,7056,51780
0,6,7,2,36,7056,22344,22344,51780
7,3,4,6,22344,22344,36,7056,51780
4,4,5,3,36,7056,22344,22344,51780
6,5,1,4,22344,36,7056,22344,51780
4,4,3,0,7056,36,22344,22344,51780
6,5,2,1,22344,36,22344,7056,51780
6,5,2,2,22344,36,7056,22344,51780
1,0,2,5,22344,22344,7056,36,51780
7,4,6,5,22344,7056,22344,36,51780
4,3,4,6,7056,22344,36,22344,51780
1,0,6,1,7056,22344,22344,36,51780
1,0,6,4,22344,22344,7056,36,51780
4,3,2,6,22344,7056,36,22344,51780
1,0,7,5,7056,22344,22344,36,51780
4,3,0,7,7056,22344,36,22344,51780
1,1,0,6,22344,22344,36,7056,51780
4,3,0,4,22344,7056,36,22344,51780
4,2,5,3,36,22344,7056,22344,51780
4,2,0,6,7056,22344,36,22344,51780
4,6,4,3,36,22344,7056,22344,51780
0,6,4,2,36,22344,7056,22344,51780
4,1,3,0,22344,36,7056,22344,51780
5,1,0,7,22344,22344,36,7056,51780
5,3,1,4,22344,7056,36,22344,51780
0,4,5,7,36,22344,22344,7056,51780
0,4,5,2,36,7056,22344,22344,51780
6,4,2,0,22344,36,22344,7056,51780
0,4,4,3,36,22344,22344,7056,51780
5,1,0,2,22344,7056,36,22344,51780
5,1,1,6,22344,7056,36,22344,51780
0,6,4,1,36,22344,22344,7056,51780
0,4,1,3,36,7056,22344,22344,51780
5,1,4,6,22344,22344,36,7056,51780
6,4,1,0,7056,36,22344,22344,51780
5,2,2,6,22344,22344,36,7056,51780
5,2,0,2,7056,22344,36,22344,51780
5,2,0,4,22344,22344,36,7056,51780
7,5,7,0,22344,36,22344,7056,51780
5,3,1,7,7056,22344,36,22344,51780
7,5,3,2,22344,36,7056,22344,51780
7,5,3,1,22344,36,22344,7056,51780
6,4,3,2,7056,36,22344,22344,51780
6,4,3,4,22344,36,22344,7056,51780
5,3,2,2,22344,7056,36,22344,51780
7,7,3,0,22344,36,7056,22344,51780
0,6,1,1,36,7056,22344,22344,51780
5,3,2,7,22344,22344,36,7056,51780
0,6,1,7,36,22344,7056,22344,51780
4,6,7,3,36,7056,22344,22344,51780
7,5,1,0,22344,36,7056,22344,51780
0,2,7,3,36,22344,22344,7056,51780
5,3,4,2,7056,22344,36,22344,51780
4,6,5,7,36,22344,7056,22344,51780
4,6,5,1,36,7056,22344,22344,51780
6,5,7,2,7056,36,22344,22344,51780
0,2,1,3,36,22344,7056,22344,51780
6,7,3,1,7056,36,22344,22344,51780
3,4,2,5,22344,7056,22344,36,51780
5,7,2,6,22344,7056,36,22344,51780
6,7,2,0,22344,36,7056,22344,51780
1,3,0,2,7056,22344,36,22344,51780
1,3,0,4,22344,22344,36,7056,51780
1,3,1,6,7056,22344,36,22344,51780
5,7,4,6,7056,22344,36,22344,51780
1,3,2,6,22344,22344,36,7056,51780
6,7,3,4,22344,36,7056,22344,51780
3,4,6,7,7056,22344,22344,36,51780
3,4,6,4,22344,7056,22344,36,51780
3,4,4,5,7056,22344,22344,36,51780
6,7,7,0,7056,36,22344,22344,51780
1,1,6,5,22344,22344,7056,36,51780
6,1,1,0,22344,36,7056,22344,51780
3,2,7,5,7056,22344,22344,36,51780
3,2,6,4,22344,22344,7056,36,51780
3,2,6,1,7056,22344,22344,36,51780
6,1,3,1,22344,36,22344,7056,51780
6,1,3,2,22344,36,7056,22344,51780
1,4,5,3,36,22344,22344,7056,51780
6,1,7,0,22344,36,22344,7056,51780
3,2,2,5,22344,22344,7056,36,51780
1,4,6,5,7056,22344,22344,36,51780
3,1,7,5,22344,7056,22344,36,51780
7,4,3,0,22344,36,22344,7056,51780
5,2,1,6,7056,22344,36,22344,51780
4,1,0,6,22344,7056,36,22344,51780
6,5,7,4,22344,36,22344,7056,51780
5,7,0,4,22344,7056,36,22344,51780
5,7,0,7,7056,22344,36,22344,51780
1,5,3,0,16464,19,16464,16464,49411
7,6,5,3,19,16464,16464,16464,49411
6,2,3,0,16464,19,16464,16464,49411
6,5,3,7,16464,19,16464,16464,49411
0,1,5,3,19,16464,16464,16464,49411
0,6,5,4,19,16464,16464,16464,49411
4,0,6,5,16464,16464,16464,19,49411
5,3,7,6,16464,16464,19,16464,49411
3,0,6,2,16464,16464,16464,19,49411
5,4,0,6,16464,16464,19,16464,49411
3,7,6,5,16464,16464,16464,19,49411
6,5,4,0,16464,19,16464,16464,49411
0,6,2,3,19,16464,16464,16464,49411
3,0,1,5,16464,16464,16464,19,49411
5,3,0,1,16464,16464,19,16464,49411
2,3,0,6,16464,16464,19,16464,49411
2,4,2,1,4104,1296,41154,1296,47850
7,1,1,4,41154,1296,1296,4104,47850
1,4,7,1,1296,4104,41154,1296,47850
4,1,2,4,41154,1296,1296,4104,47850
2,1,7,1,4104,1296,41154,1296,47850
4,7,1,1,1296,1296,4104,41154,47850
7,2,2,4,41154,4104,1296,1296,47850
7,2,4,7,4104,41154,1296,1296,47850
4,7,1,4,4104,1296,1296,41154,47850
4,7,1,7,1296,4104,1296,41154,47850
4,7,2,2,4104,1296,1296,41154,47850
1,4,4,7,1296,41154,4104,1296,47850
2,4,7,2,1296,1296,41154,4104,47850
4,7,4,2,1296,4104,1296,41154,47850
4,7,7,2,1296,1296,4104,41154,47850
1,1,2,4,41154,4104,1296,1296,47850
2,4,7,4,4104,1296,41154,1296,47850
4,2,1,2,1296,4104,1296,41154,47850
2,4,7,7,1296,4104,41154,1296,47850
1,7,4,7,1296,41154,1296,4104,47850
4,2,4,7,1296,41154,1296,4104,47850
2,7,7,1,1296,1296,41154,4104,47850
2,4,1,1,1296,1296,41154,4104,47850
4,1,1,2,4104,1296,1296,41154,47850
2,1,2,4,41154,1296,4104,1296,47850
1,2,4,1,1296,41154,4104,1296,47850
1,2,7,7,1296,41154,4104,1296,47850
4,4,1,2,1296,1296,4104,41154,47850
1,2,1,7,1296,41154,1296,4104,47850
2,7,1,2,1296,1296,4104,41154,47850
2,4,4,1,1296,4104,41154,1296,47850
1,2,2,7,4104,41154,1296,1296,47850
7,4,7,1,4104,1296,41154,1296,47850
4,4,7,1,1296,1296,41154,4104,47850
7,4,2,4,41154,1296,4104,1296,47850
7,1,4,4,41154,4104,1296,1296,47850
7,1,7,4,41154,1296,4104,1296,47850
7,1,2,1,41154,1296,4104,1296,47850
7,7,2,4,41154,1296,1296,4104,47850
1,2,4,2,1296,41154,1296,4104,47850
1,2,4,4,4104,41154,1296,1296,47850
2,2,4,7,1296,41154,4104,1296,47850
7,7,1,2,4104,1296,1296,41154,47850
7,1,2,2,41154,1296,1296,4104,47850
1,7,1,2,1296,4104,1296,41154,47850
7,1,2,7,41154,4104,1296,1296,47850
1,1,4,7,4104,41154,1296,1296,47850
2,2,7,1,1296,4104,41154,1296,47850
5,7,4,3,504,22344,504,22344,45696
5,5,2,2,22344,504,504,22344,45696
5,2,2,5,22344,22344,504,504,45696
2,1,3,5,22344,504,22344,504,45696
5,7,2,0,22344,504,504,22344,45696
6,1,7,5,22344,504,22344,504,45696
5,2,5,2,504,22344,504,22344,45696
2,2,5,5,504,22344,22344,504,45696
5,2,6,4,22344,22344,504,504,45696
5,7,5,7,504,22344,504,22344,45696
5,5,1,4,22344,504,504,22344,45696
5,7,3,4,22344,504,504,22344,45696
6,1,1,6,22344,504,504,22344,45696
2,1,6,0,22344,504,22344,504,45696
6,0,7,4,22344,504,22344,504,45696
6,1,6,1,22344,504,22344,504,45696
5,6,4,2,504,22344,504,22344,45696
6,3,1,4,22344,504,504,22344,45696
7,2,0,5,22344,22344,504,504,45696
6,3,2,2,22344,504,504,22344,45696
6,1,0,2,22344,504,504,22344,45696
5,6,1,7,504,22344,504,22344,45696
2,2,6,3,504,22344,22344,504,45696
6,0,2,1,22344,504,22344,504,45696
2,6,4,5,504,22344,22344,504,45696
7,0,7,0,22344,504,22344,504,45696
3,4,4,3,504,22344,22344,504,45696
4,2,5,6,504,22344,504,22344,45696
4,2,0,3,504,22344,504,22344,45696
7,7,3,6,22344,504,504,22344,45696
4,1,3,6,22344,504,504,22344,45696
4,1,0,0,22344,504,504,22344,45696
6,6,1,1,504,504,22344,22344,45696
3,6,7,7,504,22344,22344,504,45696
3,6,4,1,504,22344,22344,504,45696
6,6,7,2,504,504,22344,22344,45696
6,7,0,4,22344,504,504,22344,45696
3,5,7,4,22344,504,22344,504,45696
3,5,2,1,22344,504,22344,504,45696
6,7,2,6,22344,504,504,22344,45696
3,4,5,7,504,22344,22344,504,45696
3,4,3,4,22344,504,22344,504,45696
4,3,2,0,22344,504,504,22344,45696
3,4,2,0,22344,504,22344,504,45696
6,7,5,1,504,504,22344,22344,45696
3,3,4,4,22344,22344,504,504,45696
3,3,2,7,22344,22344,504,504,45696
3,1,0,7,22344,22344,504,504,45696
3,2,7,3,504,22344,22344,504,45696
3,1,3,1,22344,504,22344,504,45696
7,0,0,7,22344,22344,504,504,45696
3,2,5,1,504,22344,22344,504,45696
6,7,7,3,504,504,22344,22344,45696
3,2,2,6,22344,22344,504,504,45696
3,1,4,6,22344,22344,504,504,45696
3,2,0,4,22344,22344,504,504,45696
3,1,7,0,22344,504,22344,504,45696
2,7,5,0,504,504,22344,22344,45696
2,7,3,3,504,504,22344,22344,45696
5,2,1,3,504,22344,504,22344,45696
7,0,4,6,22344,22344,504,504,45696
5,1,6,7,22344,22344,504,504,45696
6,4,1,3,504,504,22344,22344,45696
5,1,4,5,22344,22344,504,504,45696
5,1,3,2,22344,504,504,22344,45696
5,1,1,0,22344,504,504,22344,45696
2,5,1,3,504,504,22344,22344,45696
5,0,4,4,22344,22344,504,504,45696
2,5,2,5,22344,504,22344,504,45696
6,4,2,5,22344,504,22344,504,45696
5,0,2,7,22344,22344,504,504,45696
6,4,5,2,504,504,22344,22344,45696
2,5,5,2,504,504,22344,22344,45696
2,5,6,4,22344,504,22344,504,45696
4,6,7,0,504,504,22344,22344,45696
2,6,1,0,504,504,22344,22344,45696
7,0,3,1,22344,504,22344,504,45696
6,4,6,4,22344,504,22344,504,45696
2,6,3,2,504,504,22344,22344,45696
4,6,4,6,504,22344,504,22344,45696
4,6,3,1,504,504,22344,22344,45696
4,6,0,7,504,22344,504,22344,45696
4,5,7,3,504,504,22344,22344,45696
4,5,5,1,504,504,22344,22344,45696
4,5,2,6,22344,504,504,22344,45696
4,5,0,4,22344,504,504,22344,45696
4,4,5,0,504,504,22344,22344,45696
2,6,6,7,504,22344,22344,504,45696
4,4,3,3,504,504,22344,22344,45696
4,3,4,3,504,22344,504,22344,45696
4,3,3,4,22344,504,504,22344,45696
4,3,5,7,504,22344,504,22344,45696
7,7,0,0,22344,504,504,22344,45696
0,7,7,0,504,504,22344,22344,45696
0,7,3,1,504,504,22344,22344,45696
7,3,3,2,22344,504,504,22344,45696
0,2,7,5,504,22344,22344,504,45696
1,1,0,5,22344,22344,504,504,45696
1,3,6,4,22344,22344,504,504,45696
1,3,5,2,504,22344,504,22344,45696
2,0,4,3,504,22344,22344,504,45696
0,4,6,7,504,22344,22344,504,45696
0,4,3,2,504,504,22344,22344,45696
7,3,4,5,22344,22344,504,504,45696
0,3,1,7,504,22344,504,22344,45696
1,3,1,3,504,22344,504,22344,45696
7,5,1,6,22344,504,504,22344,45696
0,3,4,2,504,22344,504,22344,45696
1,1,6,6,22344,22344,504,504,45696
0,2,0,2,504,22344,504,22344,45696
1,4,6,3,504,22344,22344,504,45696
0,0,7,7,504,22344,22344,504,45696
0,2,6,1,504,22344,22344,504,45696
0,4,4,5,504,22344,22344,504,45696
7,5,6,1,22344,504,22344,504,45696
0,7,0,7,504,22344,504,22344,45696
7,4,6,0,22344,504,22344,504,45696
2,0,5,7,504,22344,22344,504,45696
7,5,0,2,22344,504,504,22344,45696
1,4,5,5,504,22344,22344,504,45696
1,3,2,5,22344,22344,504,504,45696
2,0,3,4,22344,504,22344,504,45696
1,0,0,4,22344,22344,504,504,45696
0,5,7,2,504,504,22344,22344,45696
0,5,1,1,504,504,22344,22344,45696
1,0,2,6,22344,22344,504,504,45696
1,6,6,1,504,22344,22344,504,45696
1,6,1,6,504,22344,504,22344,45696
1,6,7,5,504,22344,22344,504,45696
7,5,7,5,22344,504,22344,504,45696
7,3,6,7,22344,22344,504,504,45696
1,7,5,6,504,22344,504,22344,45696
1,6,0,2,504,22344,504,22344,45696
7,3,1,0,22344,504,504,22344,45696
0,2,1,6,504,22344,504,22344,45696
7,2,6,6,22344,22344,504,504,45696
1,0,5,1,504,22344,22344,504,45696
0,0,4,1,504,22344,22344,504,45696
7,4,3,5,22344,504,22344,504,45696
0,4,1,0,504,504,22344,22344,45696
1,7,0,3,504,22344,504,22344,45696
1,0,7,3,504,22344,22344,504,45696
0,7,4,6,504,22344,504,22344,45696
2,0,2,0,22344,504,22344,504,45696
5,0,0,3,2744,38416,196,2744,44100
5,3,3,3,2744,2744,196,38416,44100
3,3,5,6,2744,38416,196,2744,44100
5,0,0,0,38416,2744,196,2744,44100
3,3,6,3,2744,38416,2744,196,44100
3,5,0,0,38416,196,2744,2744,44100
3,3,6,0,38416,2744,2744,196,44100
0,5,3,6,2744,196,2744,38416,44100
5,3,3,5,38416,2744,196,2744,44100
0,5,3,5,2744,196,38416,2744,44100
5,5,0,5,38416,2744,196,2744,44100
3,5,0,5,38416,2744,2744,196,44100
3,5,0,6,38416,2744,196,2744,44100
3,6,3,5,2744,2744,38416,196,44100
3,6,3,3,196,2744,38416,2744,44100
3,6,3,0,2744,196,38416,2744,44100
0,6,0,5,196,38416,2744,2744,44100
0,6,0,0,196,2744,2744,38416,44100
3,6,0,6,2744,38416,196,2744,44100
3,6,0,5,2744,38416,2744,196,44100
5,3,6,3,2744,38416,196,2744,44100
3,6,0,3,196,38416,2744,2744,44100
5,3,6,0,38416,2744,196,2744,44100
3,5,6,6,38416,2744,2744,196,44100
3,5,6,3,2744,2744,38416,196,44100
3,5,5,5,2744,2744,38416,196,44100
3,5,5,3,196,2744,38416,2744,44100
3,5,5,0,2744,196,38416,2744,44100
5,3,5,5,2744,38416,196,2744,44100
0,5,6,5,2744,2744,38416,196,44100
0,5,6,3,196,2744,38416,2744,44100
3,5,3,3,2744,196,38416,2744,44100
0,5,6,0,2744,196,38416,2744,44100
5,3,5,0,2744,2744,196,38416,44100
3,3,5,3,196,38416,2744,2744,44100
5,5,6,5,38416,2744,2744,196,44100
0,5,5,6,196,2744,2744,38416,44100
0,5,5,5,196,2744,38416,2744,44100
3,3,5,5,2744,38416,2744,196,44100
6,0,0,5,38416,2744,2744,196,44100
6,0,0,0,38416,196,2744,2744,44100
6,0,6,6,38416,2744,2744,196,44100
5,5,3,3,2744,196,2744,38416,44100
0,3,5,5,196,38416,2744,2744,44100
0,0,6,6,2744,38416,2744,196,44100
5,5,5,3,196,2744,2744,38416,44100
0,0,6,0,2744,2744,38416,196,44100
6,0,3,3,2744,196,38416,2744,44100
0,0,5,6,196,38416,2744,2744,44100
5,5,3,5,38416,196,2744,2744,44100
0,3,6,3,196,38416,2744,2744,44100
3,0,5,6,2744,38416,2744,196,44100
3,0,5,0,2744,2744,38416,196,44100
0,3,6,5,2744,38416,2744,196,44100
0,3,5,0,196,2744,2744,38416,44100
0,3,6,6,2744,38416,196,2744,44100
3,0,3,6,38416,2744,2744,196,44100
3,0,3,3,2744,2744,38416,196,44100
6,0,3,6,38416,196,2744,2744,44100
3,0,0,3,2744,38416,2744,196,44100
3,0,0,0,38416,2744,2744,196,44100
5,5,5,0,2744,196,2744,38416,44100
6,0,6,3,2744,2744,38416,196,44100
6,0,5,0,2744,196,38416,2744,44100
6,0,5,3,196,2744,38416,2744,44100
6,0,5,5,2744,2744,38416,196,44100
5,5,5,6,2744,2744,196,38416,44100
0,0,3,5,2744,2744,38416,196,44100
0,3,0,0,2744,2744,196,38416,44100
6,0,0,6,38416,2744,196,2744,44100
0,5,0,6,2744,2744,196,38416,44100
3,3,3,6,38416,2744,196,2744,44100
3,3,3,5,38416,2744,2744,196,44100
0,5,0,3,196,2744,2744,38416,44100
0,3,0,5,2744,38416,196,2744,44100
5,0,3,0,38416,196,2744,2744,44100
3,3,3,0,38416,196,2744,2744,44100
0,5,0,0,2744,196,2744,38416,44100
5,0,3,5,38416,2744,2744,196,44100
5,0,3,6,38416,2744,196,2744,44100
3,6,5,0,196,2744,38416,2744,44100
3,3,0,3,2744,38416,196,2744,44100
0,0,3,3,196,2744,38416,2744,44100
3,3,0,0,38416,2744,196,2744,44100
5,0,5,3,196,38416,2744,2744,44100
5,0,5,5,2744,38416,2744,196,44100
5,0,5,6,2744,38416,196,2744,44100
0,3,3,0,2744,196,2744,38416,44100
0,3,3,3,196,2744,2744,38416,44100
5,0,6,0,38416,2744,2744,196,44100
5,0,6,3,2744,38416,2744,196,44100
0,3,3,6,2744,2744,196,38416,44100
0,0,3,0,2744,196,38416,2744,44100
5,5,6,0,38416,196,2744,2744,44100
5,5,6,6,38416,2744,196,2744,44100
3,5,3,6,38416,196,2744,2744,44100
0,0,5,0,196,2744,38416,2744,44100
6,3,6,5,38416,2744,2744,196,44100
6,3,0,3,2744,2744,196,38416,44100
6,6,0,3,196,2744,2744,38416,44100
6,6,0,6,2744,2744,196,38416,44100
5,6,3,3,196,2744,2744,38416,44100
0,0,0,6,2744,38416,196,2744,44100
0,0,0,5,2744,38416,2744,196,44100
6,6,3,5,2744,196,38416,2744,44100
0,6,3,5,196,2744,38416,2744,44100
6,6,3,6,2744,196,2744,38416,44100
0,6,6,6,196,38416,2744,2744,44100
5,6,0,5,2744,38416,196,2744,44100
6,3,3,5,38416,196,2744,2744,44100
0,6,6,0,196,2744,38416,2744,44100
0,0,0,3,196,38416,2744,2744,44100
5,6,3,6,2744,2744,196,38416,44100
6,6,0,0,2744,196,2744,38416,44100
5,6,6,6,2744,38416,196,2744,44100
5,6,6,5,2744,38416,2744,196,44100
5,6,0,0,2744,2744,196,38416,44100
5,6,6,3,196,38416,2744,2744,44100
6,5,6,6,38416,196,2744,2744,44100
6,3,6,0,38416,196,2744,2744,44100
6,5,0,3,2744,196,2744,38416,44100
6,3,5,6,2744,2744,196,38416,44100
6,5,6,3,2744,196,38416,2744,44100
6,3,5,0,2744,196,2744,38416,44100
5,6,5,5,196,38416,2744,2744,44100
6,5,0,5,38416,196,2744,2744,44100
6,5,5,6,2744,196,2744,38416,44100
6,3,5,3,196,2744,2744,38416,44100
5,6,5,0,196,2744,2744,38416,44100
0,6,3,6,196,2744,2744,38416,44100
5,6,3,0,2744,196,2744,38416,44100
6,5,5,5,2744,196,38416,2744,44100
6,6,6,0,2744,196,38416,2744,44100
6,3,6,6,38416,2744,196,2744,44100
