,FOXA1,AFP,FOXA2,SOX2,BMP2,NANOG,BMP2K,HNF4A,OCT4,CDX2,SP1,CEBP,E2F4,PRDM14,CSH1,FOXD3,OCT4-FOXD3,SOX17,FOXO1A,T,TCF3,TDGF1,ZFP42,ZIC3,ZNF206,SUMO1,GATA2,PIASy,GATA3,GATA4,PIAS1,GATA6,LMCD1,GDF3,hCGa,cAMP,hCGb,SP3,bCAT,KLF4,LEF1,LEF1-bCat,MAX,Mad-Max,Mad,MYC,Myc-Max,MYC-SP1,Oct4-Sox2,PBX1,NFYA,SALL4
1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1
2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
