,KLF4,INSM1,SOX2,FOXA1,LEF1,ETS2,NEUROD1,POU3F2,MYB,MYC,TCF3,FLI1,FOXA2,SMAD3,REST,TCF7L2,ASCL1,SOX11,TCF4,CEBPD,OVOL2,BHLHE40,ELF3,TEAD4,PAX5,MITF,NFKB1,TCF12,CBFA2T2,ATF2,PBX1,KDM5B,ZEB1
1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0
2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1
