,000,010,100,110,001,011,101,111
Repressilator.topo,1,4,4,4,4,4,4,1
3n4e_2PFL.topo,1,20,6,6,6,6,20,1
3n4e_PFL-NFL.topo,1,12,10,6,6,10,12,1
