,,A,B,C,D,E
0_0.topo,10000,U(1111),L(0111),L(0111),L(0111),L(0111)
0_0.topo,01000,L(0111),U(1111),L(1011),L(1011),L(1011)
0_0.topo,00100,L(1011),L(1011),U(1111),L(1101),L(1101)
0_0.topo,00010,L(1101),L(1101),L(1101),U(1111),L(1110)
0_0.topo,00001,L(1110),L(1110),L(1110),L(1110),U(1111)
10_1639.topo,10000,U(0101),L(1110),L(1011),L(0100),L(0100)
10_1639.topo,01000,L(1101),U(0110),L(0111),L(1000),L(1000)
10_1639.topo,00100,L(0001),L(0010),U(0011),L(1110),L(1110)
10_1639.topo,00010,L(0111),L(0100),L(0001),U(1100),L(1101)
10_1639.topo,00001,L(0100),L(0111),L(0010),L(1101),U(1100)
10_1655.topo,10000,U(0011),L(1101),L(1110),L(0010),L(0100)
10_1655.topo,01000,L(1011),U(0101),L(0010),L(1110),L(1000)
10_1655.topo,00100,L(0111),L(0001),U(0110),L(1000),L(1110)
10_1655.topo,00010,L(0001),L(0111),L(0100),U(1010),L(1101)
10_1655.topo,00001,L(0010),L(0100),L(0111),L(1011),U(1100)
10_1656.topo,10000,U(0011),L(1110),L(1101),L(0010),L(0100)
10_1656.topo,01000,L(1011),U(0110),L(0001),L(1110),L(1000)
10_1656.topo,00100,L(0111),L(0010),U(0101),L(1000),L(1110)
10_1656.topo,00010,L(0001),L(0100),L(0111),U(1010),L(1101)
10_1656.topo,00001,L(0010),L(0111),L(0100),L(1011),U(1100)
10_1668.topo,10000,U(0110),L(1011),L(1101),L(0010),L(0100)
10_1668.topo,01000,L(1110),U(0011),L(0001),L(1110),L(1000)
10_1668.topo,00100,L(0010),L(0111),U(0101),L(1000),L(1110)
10_1668.topo,00010,L(0100),L(0001),L(0111),U(1010),L(1101)
10_1668.topo,00001,L(0111),L(0010),L(0100),L(1011),U(1100)
10_1669.topo,10000,U(1100),L(1110),L(1011),L(0001),L(0100)
10_1669.topo,01000,L(0100),U(0110),L(0111),L(1101),L(1000)
10_1669.topo,00100,L(1000),L(0010),U(0011),L(1011),L(1110)
10_1669.topo,00010,L(1110),L(0100),L(0001),U(1001),L(1101)
10_1669.topo,00001,L(1101),L(0111),L(0010),L(1000),U(1100)
15_148.topo,10000,U(1000),L(0000),L(1001),L(1010),L(1001)
15_148.topo,01000,L(0000),U(1000),L(0101),L(0110),L(0101)
15_148.topo,00100,L(1100),L(1100),U(0001),L(0000),L(0011)
15_148.topo,00010,L(1010),L(1010),L(0011),U(0010),L(0000)
15_148.topo,00001,L(1001),L(1001),L(0000),L(0011),U(0001)
15_153.topo,10000,U(0001),L(0000),L(1100),L(1010),L(1001)
15_153.topo,01000,L(1001),U(1000),L(0000),L(0110),L(0101)
15_153.topo,00100,L(0101),L(1100),U(0100),L(0000),L(0011)
15_153.topo,00010,L(0011),L(1010),L(0110),U(0010),L(0000)
15_153.topo,00001,L(0000),L(1001),L(0101),L(0011),U(0001)
20_0.topo,10000,U(0000),L(1000),L(1000),L(1000),L(1000)
20_0.topo,01000,L(1000),U(0000),L(0100),L(0100),L(0100)
20_0.topo,00100,L(0100),L(0100),U(0000),L(0010),L(0010)
20_0.topo,00010,L(0010),L(0010),L(0010),U(0000),L(0001)
20_0.topo,00001,L(0001),L(0001),L(0001),L(0001),U(0000)
5_148.topo,10000,U(0111),L(1111),L(0110),L(0101),L(0110)
5_148.topo,01000,L(1111),U(0111),L(1010),L(1001),L(1010)
5_148.topo,00100,L(0011),L(0011),U(1110),L(1111),L(1100)
5_148.topo,00010,L(0101),L(0101),L(1100),U(1101),L(1111)
5_148.topo,00001,L(0110),L(0110),L(1111),L(1100),U(1110)
5_153.topo,10000,U(1110),L(1111),L(0011),L(0101),L(0110)
5_153.topo,01000,L(0110),U(0111),L(1111),L(1001),L(1010)
5_153.topo,00100,L(1010),L(0011),U(1011),L(1111),L(1100)
5_153.topo,00010,L(1100),L(0101),L(1001),U(1101),L(1111)
5_153.topo,00001,L(1111),L(0110),L(1010),L(1100),U(1110)
