,,A,B,C
0_0.topo,100,U(11),L(01),L(01)
0_0.topo,010,L(01),U(11),L(10)
0_0.topo,001,L(10),L(10),U(11)
3_3.topo,100,U(10),L(11),L(00)
3_3.topo,010,L(00),U(01),L(11)
3_3.topo,001,L(11),L(00),U(10)
6_0.topo,100,U(00),L(10),L(10)
6_0.topo,010,L(10),U(00),L(01)
6_0.topo,001,L(01),L(01),U(00)
