,,,,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
,,,,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1
,,,,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1
,,,,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
0,0,0,0,167,148,148,148,148,84,84,84,84,84,84,20,20,20,20,1
0,0,0,1,148,148,134,134,134,84,78,84,78,84,78,20,20,20,19,1
0,0,1,0,148,134,148,134,134,84,84,78,84,78,78,20,20,19,20,1
0,1,0,0,148,134,134,148,134,78,84,84,78,78,84,20,19,20,20,1
1,0,0,0,148,134,134,134,148,78,78,78,84,84,84,19,20,20,20,1
0,0,1,1,84,84,84,78,78,84,53,53,53,53,48,20,20,14,14,1
0,1,1,0,84,78,84,84,78,53,84,53,53,48,53,20,14,14,20,1
0,1,0,1,84,84,78,84,78,53,53,84,48,53,53,20,14,20,14,1
1,0,1,0,84,78,84,78,84,53,53,48,84,53,53,14,20,14,20,1
1,0,0,1,84,84,78,78,84,53,48,53,53,84,53,14,20,20,14,1
1,1,0,0,84,78,78,84,84,48,53,53,53,53,84,14,14,20,20,1
0,1,1,1,20,20,20,20,19,20,20,20,14,14,14,20,6,6,6,1
1,0,1,1,20,20,20,19,20,20,14,14,20,20,14,6,20,6,6,1
1,1,0,1,20,20,19,20,20,14,14,20,14,20,20,6,6,20,6,1
1,1,1,0,20,19,20,20,20,14,20,14,20,14,20,6,6,6,20,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
