,,,,U_fn,U_in,L_fn,L_out
0,0,0,0,167,1,166,1
0,0,0,1,19,1,165,1
0,0,1,0,78,1,164,1
0,1,0,0,148,1,147,1
1,0,0,0,134,1,161,1
0,0,1,1,5,1,162,1
0,1,1,0,53,1,139,1
0,1,0,1,14,1,145,1
1,0,1,0,39,1,153,1
1,0,0,1,11,1,159,1
1,1,0,0,84,1,83,1
0,1,1,1,3,1,134,1
1,0,1,1,2,1,148,1
1,1,0,1,6,1,78,1
1,1,1,0,20,1,19,1
1,1,1,1,1,1,0,1
