,,,,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1
,,,,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1
,,,,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1
,,,,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,19,0,14,14,14,0,6,0,6,0,6,0,0,0,1,0
0,0,1,0,19,14,0,14,14,0,0,6,0,6,6,0,0,1,0,0
0,1,0,0,19,14,14,0,14,6,0,0,6,6,0,0,1,0,0,0
1,0,0,0,19,14,14,14,0,6,6,6,0,0,0,1,0,0,0,0
0,0,1,1,83,64,64,70,70,0,31,31,31,31,36,0,0,6,6,0
0,1,1,0,83,70,64,64,70,31,0,31,31,36,31,0,6,6,0,0
0,1,0,1,83,64,70,64,70,31,31,0,36,31,31,0,6,0,6,0
1,0,1,0,83,70,64,70,64,31,31,36,0,31,31,6,0,6,0,0
1,0,0,1,83,64,70,70,64,31,36,31,31,0,31,6,0,0,6,0
1,1,0,0,83,70,70,64,64,36,31,31,31,31,0,6,6,0,0,0
0,1,1,1,147,128,128,128,129,64,64,64,70,70,70,0,14,14,14,0
1,0,1,1,147,128,128,129,128,64,70,70,64,64,70,14,0,14,14,0
1,1,0,1,147,128,129,128,128,70,70,64,70,64,64,14,14,0,14,0
1,1,1,0,147,129,128,128,128,70,64,70,64,70,64,14,14,14,0,0
1,1,1,1,166,147,147,147,147,83,83,83,83,83,83,19,19,19,19,0
