TGFbeta,SNAI1,miR200,ZEB1,miR34,OVOL2,CDH1,VIM,TGFbeta_count,SNAI1_count,miR200_count,ZEB1_count,miR34_count,OVOL2_count,CDH1_count,VIM_count,counts
0,0,1,0,1,1,1,0,5,5,5,19,5,2,4,18,1710000
1,1,0,1,0,0,0,1,5,5,5,19,5,2,4,18,1710000
1,1,0,1,0,1,0,1,3,5,5,14,5,1,4,13,273000
0,0,1,0,1,0,1,0,3,5,5,14,5,1,4,13,273000
1,1,0,1,1,0,0,1,5,3,5,19,1,2,4,18,205200
0,1,0,1,0,0,0,1,1,3,5,19,5,2,4,18,205200
0,0,1,0,0,1,1,0,5,3,5,19,1,2,4,18,205200
1,0,1,0,1,1,1,0,1,3,5,19,5,2,4,18,205200
1,0,1,0,1,0,1,0,3,3,5,14,5,1,4,13,163800
0,1,0,1,0,1,0,1,3,3,5,14,5,1,4,13,163800
1,1,1,1,0,0,0,1,3,5,1,14,5,2,4,18,151200
0,0,0,0,1,1,1,0,3,5,1,14,5,2,4,18,151200
1,1,0,1,0,1,0,0,3,5,5,14,5,1,4,5,105000
0,0,1,0,1,0,1,1,3,5,5,14,5,1,4,5,105000
0,1,1,0,0,1,0,0,5,3,3,14,3,2,2,13,98280
0,1,1,0,0,1,1,0,5,3,3,14,3,2,2,13,98280
1,0,0,1,1,0,1,1,5,3,3,14,3,2,2,13,98280
1,0,0,1,1,0,0,1,5,3,3,14,3,2,2,13,98280
0,1,1,1,0,0,0,1,3,3,1,14,5,2,4,18,90720
1,0,0,0,1,1,1,0,3,3,1,14,5,2,4,18,90720
0,1,0,1,0,1,0,0,3,3,5,14,5,1,4,5,63000
1,0,1,0,1,0,1,1,3,3,5,14,5,1,4,5,63000
0,0,1,1,1,0,1,1,3,5,3,6,3,2,2,13,42120
0,0,1,1,1,0,0,1,3,5,3,6,3,2,2,13,42120
1,1,0,0,0,1,0,0,3,5,3,6,3,2,2,13,42120
1,1,0,0,0,1,1,0,3,5,3,6,3,2,2,13,42120
0,1,1,0,0,1,1,1,5,3,3,14,3,2,2,5,37800
0,1,1,0,0,1,0,1,5,3,3,14,3,2,2,5,37800
1,0,0,1,1,0,0,0,5,3,3,14,3,2,2,5,37800
1,0,0,1,1,0,1,0,5,3,3,14,3,2,2,5,37800
0,0,1,0,0,0,1,0,3,3,5,14,1,1,4,13,32760
1,1,1,0,0,1,1,0,1,5,3,14,3,2,2,13,32760
0,0,0,1,1,0,1,1,1,5,3,14,3,2,2,13,32760
1,1,1,0,0,1,0,0,1,5,3,14,3,2,2,13,32760
0,1,1,0,1,1,0,0,5,1,3,14,3,2,2,13,32760
0,1,1,0,1,1,1,0,5,1,3,14,3,2,2,13,32760
1,0,0,1,0,0,0,1,5,1,3,14,3,2,2,13,32760
1,0,0,1,0,0,1,1,5,1,3,14,3,2,2,13,32760
0,0,0,1,1,0,0,1,1,5,3,14,3,2,2,13,32760
1,1,0,1,1,1,0,1,3,3,5,14,1,1,4,13,32760
0,0,1,1,0,0,1,1,3,3,3,6,3,2,2,13,25272
1,0,1,1,1,0,0,1,3,3,3,6,3,2,2,13,25272
0,0,1,1,0,0,0,1,3,3,3,6,3,2,2,13,25272
1,0,1,1,1,0,1,1,3,3,3,6,3,2,2,13,25272
0,1,0,0,0,1,0,0,3,3,3,6,3,2,2,13,25272
1,1,0,0,1,1,1,0,3,3,3,6,3,2,2,13,25272
0,1,0,0,0,1,1,0,3,3,3,6,3,2,2,13,25272
1,1,0,0,1,1,0,0,3,3,3,6,3,2,2,13,25272
1,0,0,0,1,0,1,0,5,3,1,6,5,1,4,13,23400
0,1,1,1,0,1,0,1,5,3,1,6,5,1,4,13,23400
0,0,0,1,1,1,0,0,3,5,3,6,3,1,2,13,21060
0,0,0,1,1,1,1,0,3,5,3,6,3,1,2,13,21060
1,1,1,0,0,0,1,1,3,5,3,6,3,1,2,13,21060
1,1,1,0,0,0,0,1,3,5,3,6,3,1,2,13,21060
0,0,0,1,0,0,1,1,1,3,3,14,3,2,2,13,19656
0,0,0,1,0,0,0,1,1,3,3,14,3,2,2,13,19656
1,1,1,0,1,1,0,0,1,3,3,14,3,2,2,13,19656
1,1,1,0,1,1,1,0,1,3,3,14,3,2,2,13,19656
1,1,1,1,1,0,0,1,3,3,1,14,1,2,4,18,18144
0,0,0,0,0,1,1,0,3,3,1,14,1,2,4,18,18144
1,1,0,0,0,1,1,1,3,5,3,6,3,2,2,5,16200
1,1,0,0,0,1,0,1,3,5,3,6,3,2,2,5,16200
0,0,1,1,1,0,0,0,3,5,3,6,3,2,2,5,16200
0,0,1,1,1,0,1,0,3,5,3,6,3,2,2,5,16200
1,0,1,0,0,1,1,0,1,1,5,19,1,2,4,18,13680
0,1,0,1,1,0,0,1,1,1,5,19,1,2,4,18,13680
0,0,0,1,0,1,0,0,3,3,3,6,3,1,2,13,12636
1,0,0,1,1,1,1,0,3,3,3,6,3,1,2,13,12636
0,0,0,1,0,1,1,0,3,3,3,6,3,1,2,13,12636
1,1,1,0,1,0,0,1,3,3,3,6,3,1,2,13,12636
0,1,1,0,0,0,1,1,3,3,3,6,3,1,2,13,12636
1,0,0,1,1,1,0,0,3,3,3,6,3,1,2,13,12636
0,1,1,0,0,0,0,1,3,3,3,6,3,1,2,13,12636
1,1,1,0,1,0,1,1,3,3,3,6,3,1,2,13,12636
0,0,1,0,0,0,1,1,3,3,5,14,1,1,4,5,12600
1,0,0,1,0,0,0,0,5,1,3,14,3,2,2,5,12600
0,0,0,1,1,0,1,0,1,5,3,14,3,2,2,5,12600
1,1,0,1,1,1,0,0,3,3,5,14,1,1,4,5,12600
0,0,0,1,1,0,0,0,1,5,3,14,3,2,2,5,12600
1,0,0,1,0,0,1,0,5,1,3,14,3,2,2,5,12600
